TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 7f2e7a25b42b7595ef4c1c9437922
ERRORS:
**** Item %ABYSS for user (CHAABER) is repeated in want list for 457.
**** Item %BLUEPRINTS for user (CHAABER) is repeated in want list for 454.
**** Item %BLUEPRINTS for user (CHAABER) is repeated in want list for 455.
**** Item %BOHNANZA for user (CHAABER) is repeated in want list for 455.
**** Item %BORA_BORA for user (DONKICHOTE87) is repeated in want list for 636.
**** Item %BORA_BORA for user (DONKICHOTE87) is repeated in want list for 637.
**** Item %BORA_BORA for user (DONKICHOTE87) is repeated in want list for 638.
**** Item %CONCORDIA for user (SOAMAZINGLYBAD) is repeated in want list for 513.
**** Item %CONCORDIA for user (SOAMAZINGLYBAD) is repeated in want list for 514.
**** Item %FIELDS_OF_ARLE for user (RADZISZZ) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %FIELDS_OF_ARLE for user (RADZISZZ) is repeated in want list for 181.
**** Item %FIELDS_OF_ARLE for user (RADZISZZ) is repeated in want list for 184.
**** Item %MICE_AND_MYSTICS for user (DONKICHOTE87) is repeated in want list for 639.
**** Item %THE_PILLARS_OF_THE_EARTH for user (CHAABER) is repeated in want list for 456.
**** Item %THE_PILLARS_OF_THE_EARTH for user (CHAABER) is repeated in want list for 458.
**** Item %WATSON_HOLMES for user (CHAABER) is repeated in want list for 454.
**** Item %YAMATAI for user (DONKICHOTE87) is repeated in want list for 639.
**** Item 259 is repeated in want list for 721.
**** Item 337 is repeated in want list for 512.
**** Item 474 is repeated in want list for 471.
**** Item 502 is repeated in want list for 179.
**** Item 539 is repeated in want list for 547.
**** Item 783 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item 925 is repeated in want list for 26.
**** Unknown item 264 (5 occurrences)
**** Unknown item 265 (12 occurrences)
**** Unknown item 266 (9 occurrences)
**** Unknown item 267 (1 occurrence)
**** Unknown item 268 (2 occurrences)
**** Unknown item 269 (1 occurrence)
**** Unknown item 270 (1 occurrence)
**** Unknown item 271 (1 occurrence)
**** Unknown item 416 (5 occurrences)
**** Unknown item 417 (6 occurrences)
**** Unknown item 418 (12 occurrences)
**** Unknown item 419 (6 occurrences)
**** Unknown item 420 (7 occurrences)
**** Unknown item 421 (1 occurrence)
**** Unknown item 43 (2 occurrences)
**** Unknown item 44 (1 occurrence)
**** Unknown item 47 (5 occurrences)
**** Unknown item 475 (6 occurrences)
**** Unknown item 476 (8 occurrences)
**** Unknown item 478 (7 occurrences)
**** Unknown item 652 (1 occurrence)
**** Unknown item 654 (4 occurrences)
**** Unknown item 659 (15 occurrences)
**** Unknown item 661 (15 occurrences)
**** Unknown item 662 (2 occurrences)
**** Unknown item 663 (3 occurrences)
**** Unknown item 786 (1 occurrence)
**** Unknown item 788 (7 occurrences)
**** Unknown item 789 (14 occurrences)
**** Unknown item 826 (1 occurrence)
**** Unknown item MARVEL_DICE_MASTERS__THE_UNCANNY_X_MEN___COLLECTOR_S_BOX (1 occurrence)

TRADE LOOPS (171 total trades):

(_AIS_) 432          receives (RAZUL) 598
(RAZUL) 598          receives (MUK83) 321
(MUK83) 321          receives (KUBAP) 966
(KUBAP) 966          receives (STASZEK) 750
(STASZEK) 750        receives (KRZYSIEKL) 949
(KRZYSIEKL) 949      receives (NAWIA) 466
(NAWIA) 466          receives (SIPIO) 492
(SIPIO) 492          receives (ZERO_1627) 556
(ZERO_1627) 556      receives (MALEKITH_86) 695
(MALEKITH_86) 695    receives (LOTHRAIN) 506
(LOTHRAIN) 506       receives (MEFIUG) 150
(MEFIUG) 150         receives (MARCIND) 794
(MARCIND) 794        receives (REGUUU) 699
(REGUUU) 699         receives (JENNY70) 363
(JENNY70) 363        receives (RUNMAN) 424
(RUNMAN) 424         receives (BOGUSZO) 686
(BOGUSZO) 686        receives (_AIS_) 436
(_AIS_) 436          receives (RAZUL) 529
(RAZUL) 529          receives (SOAMAZINGLYBAD) 514
(SOAMAZINGLYBAD) 514 receives (CORABB) 547
(CORABB) 547         receives (RAZUL) 137
(RAZUL) 137          receives (JENNY70) 360
(JENNY70) 360        receives (RAFALOLEK) 324
(RAFALOLEK) 324      receives (GODUNOW) 850
(GODUNOW) 850        receives (VELJAREK) 746
(VELJAREK) 746       receives (CRSUNIK) 804
(CRSUNIK) 804        receives (MAT_EYO) 825
(MAT_EYO) 825        receives (GINET1) 602
(GINET1) 602         receives (RAZUL) 534
(RAZUL) 534          receives (ZEWSI) 507
(ZEWSI) 507          receives (KRIONAH) 646
(KRIONAH) 646        receives (SOAMAZINGLYBAD) 513
(SOAMAZINGLYBAD) 513 receives (MEFIUG) 164
(MEFIUG) 164         receives (KRYSTEK) 658
(KRYSTEK) 658        receives (PPIECHUU) 510
(PPIECHUU) 510       receives (LAGETH) 590
(LAGETH) 590         receives (KRYSTEK) 657
(KRYSTEK) 657        receives (CRSUNIK) 815
(CRSUNIK) 815        receives (MONGEA) 950
(MONGEA) 950         receives (RAZUL) 138
(RAZUL) 138          receives (MARCIND) 796
(MARCIND) 796        receives (SHADOWA) 706
(SHADOWA) 706        receives (KRISSOS) 608
(KRISSOS) 608        receives (KMET) 543
(KMET) 543           receives (RAZUL) 600
(RAZUL) 600          receives (MAGOLE) 617
(MAGOLE) 617         receives (CYBEROWCA) 183
(CYBEROWCA) 183      receives (HARUN) 136
(HARUN) 136          receives (MARCIND) 798
(MARCIND) 798        receives (ELMOTOJA) 758
(ELMOTOJA) 758       receives (GINET1) 13
(GINET1) 13          receives (PITONOWIE) 664
(PITONOWIE) 664      receives (PIODAG) 38
(PIODAG) 38          receives (GRZES19) 853
(GRZES19) 853        receives (BOGUSZO) 687
(BOGUSZO) 687        receives (SIPIO) 494
(SIPIO) 494          receives (KUBAP) 963
(KUBAP) 963          receives (CRSUNIK) 814
(CRSUNIK) 814        receives (GAMBIT_GGK) 573
(GAMBIT_GGK) 573     receives (OMAM1234) 177
(OMAM1234) 177       receives (KRISSOS) 610
(KRISSOS) 610        receives (MARCIND) 783
(MARCIND) 783        receives (RAZUL) 535
(RAZUL) 535          receives (FANTAZYN) 49
(FANTAZYN) 49        receives (SPIOSEK) 791
(SPIOSEK) 791        receives (INDAREK) 760
(INDAREK) 760        receives (RAZUL) 169
(RAZUL) 169          receives (KACZUCH2142) 480
(KACZUCH2142) 480    receives (STASZEK) 748
(STASZEK) 748        receives (BARTP) 199
(BARTP) 199          receives (MAJKOS) 116
(MAJKOS) 116         receives (MAT_EYO) 823
(MAT_EYO) 823        receives (RAZUL) 390
(RAZUL) 390          receives (CRSUNIK) 806
(CRSUNIK) 806        receives (WILCZELYKO) 406
(WILCZELYKO) 406     receives (KASZKIET) 7
(KASZKIET) 7         receives (HARUN) 123
(HARUN) 123          receives (REGUUU) 701
(REGUUU) 701         receives (KASZKIET) 8
(KASZKIET) 8         receives (MIOTELKA) 630
(MIOTELKA) 630       receives (MEFIUG) 132
(MEFIUG) 132         receives (4810861U) 185
(4810861U) 185       receives (BOGUSZO) 689
(BOGUSZO) 689        receives (RAZUL) 57
(RAZUL) 57           receives (TOMASCH) 718
(TOMASCH) 718        receives (PIECHU) 518
(PIECHU) 518         receives (KUBAP) 945
(KUBAP) 945          receives (REGUUU) 705
(REGUUU) 705         receives (BARTP) 197
(BARTP) 197          receives (BAARTOSZZ) 102
(BAARTOSZZ) 102      receives (REGUUU) 702
(REGUUU) 702         receives (BAARTOSZZ) 92
(BAARTOSZZ) 92       receives (PETER128) 488
(PETER128) 488       receives (TOMASCH) 719
(TOMASCH) 719        receives (MEFIUG) 148
(MEFIUG) 148         receives (SIPIO) 489
(SIPIO) 489          receives (SHADOWA) 708
(SHADOWA) 708        receives (8JANEK8) 287
(8JANEK8) 287        receives (VDER) 606
(VDER) 606           receives (YNIDHOGG) 947
(YNIDHOGG) 947       receives (THELKAAR) 679
(THELKAAR) 679       receives (GURTH) 404
(GURTH) 404          receives (MEFIUG) 127
(MEFIUG) 127         receives (FURAN) 836
(FURAN) 836          receives (YNIDHOGG) 938
(YNIDHOGG) 938       receives (_AIS_) 432

(8JANEK8) 283        receives (KRISSOS) 612
(KRISSOS) 612        receives (CZYZYK29) 540
(CZYZYK29) 540       receives (PUNRYK) 375
(PUNRYK) 375         receives (CORABB) 551
(CORABB) 551         receives (RAZUL) 153
(RAZUL) 153          receives (PITONOWIE) 669
(PITONOWIE) 669      receives (ZEWSI) 508
(ZEWSI) 508          receives (PETER128) 484
(PETER128) 484       receives (KASZKIET) 5
(KASZKIET) 5         receives (KUBAP) 951
(KUBAP) 951          receives (KASHYA) 410
(KASHYA) 410         receives (8JANEK8) 283

(BAARTOSZZ) 99       receives (GURTH) 405
(GURTH) 405          receives (SIREVAN) 678
(SIREVAN) 678        receives (BARTP) 196
(BARTP) 196          receives (RAZUL) 68
(RAZUL) 68           receives (STASZEK) 753
(STASZEK) 753        receives (FREYA2226) 618
(FREYA2226) 618      receives (RADZISZZ) 184
(RADZISZZ) 184       receives (FREYA2226) 620
(FREYA2226) 620      receives (KUBAP) 955
(KUBAP) 955          receives (KRZYSIEKL) 959
(KRZYSIEKL) 959      receives (TIAMAT997) 204
(TIAMAT997) 204      receives (MCARON1) 633
(MCARON1) 633        receives (ELPRZYBYLLO) 90
(ELPRZYBYLLO) 90     receives (GOLEBIOWSKI) 331
(GOLEBIOWSKI) 331    receives (SLAWSLOM) 730
(SLAWSLOM) 730       receives (VORONWE) 655
(VORONWE) 655        receives (NARO) 110
(NARO) 110           receives (MAJKOS) 316
(MAJKOS) 316         receives (RAZUL) 129
(RAZUL) 129          receives (ELMOTOJA) 762
(ELMOTOJA) 762       receives (FINNAN) 73
(FINNAN) 73          receives (WILCZELYKO) 407
(WILCZELYKO) 407     receives (BAARTOSZZ) 101
(BAARTOSZZ) 101      receives (MONGEA) 876
(MONGEA) 876         receives (BAARTOSZZ) 99

(BOGUSZO) 688        receives (CHAABER) 453
(CHAABER) 453        receives (YNIDHOGG) 851
(YNIDHOGG) 851       receives (GURTH) 426
(GURTH) 426          receives (MONGEA) 940
(MONGEA) 940         receives (GRZES19) 863
(GRZES19) 863        receives (FINNAN) 70
(FINNAN) 70          receives (GRUNWALD) 428
(GRUNWALD) 428       receives (BOGUSZO) 688

