TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: d0ed9abe2674a4bb17549da847dce9ba
ERRORS:
**** Item %AGRICOLA__ALL_CREATURES_BIG_AND_SMALL for user (FURAN) is repeated in want list for 719.
**** Item %CAPITAL for user (FURAN) is repeated in want list for 720.
**** Item %IMPERIAL_SETTLERS for user (SEBASAMURAI) is repeated in want list for 146.
**** Item %MAGNUM_SAL__MURIA for user (FURAN) is repeated in want list for 719.
**** Item %MAGNUM_SAL__MURIA for user (FURAN) is repeated in want list for 720.
**** Item %NINJATO for user (FURAN) is repeated in want list for 614.
**** Item %VANUATU for user (CRSUNIK) is repeated in want list for 132.
**** Unknown item %51ST_STATE__MASTER_SET for user (DEEDO72) (5 occurrences)
**** Unknown item %AGE_OF_THIEVES for user (DEEDO72) (5 occurrences)
**** Unknown item %A_FEAST_FOR_ODIN for user (DEEDO72) (5 occurrences)
**** Unknown item %BARENPARK for user (PEZETTO) (1 occurrence)
**** Unknown item %FUSE for user (DEEDO72) (5 occurrences)
**** Unknown item %ICECOOL for user (PEZETTO) (2 occurrences)
**** Unknown item %KANAGAWA for user (PEZETTO) (1 occurrence)
**** Unknown item %LEGENDARY_ENCOUNTERS__AN_ALIEN_DECK_BUILDING_GAME for user (DEEDO72) (5 occurrences)
**** Unknown item %LEGENDARY_ENCOUNTERS__A_PREDATOR_DECK_BUILDING_GAME for user (DEEDO72) (5 occurrences)
**** Unknown item %LETTERS_FROM_WHITECHAPEL for user (DEEDO72) (5 occurrences)
**** Unknown item %METALLUM for user (PEZETTO) (1 occurrence)
**** Unknown item %MEXICA for user (DEEDO72) (5 occurrences)
**** Unknown item %MOMBASA for user (PEZETTO) (1 occurrence)
**** Unknown item %NOTREDAME for user (PEZETTO) (1 occurrence)
**** Unknown item %SCYTHE for user (DEEDO72) (5 occurrences)
**** Unknown item %SEAFALL for user (DEEDO72) (5 occurrences)
**** Unknown item %STEAMPUNK_RALLY for user (DEEDO72) (5 occurrences)
**** Unknown item %STEAM_WORKS for user (DEEDO72) (5 occurrences)
**** Unknown item %STONE_AGE__THE_EXPANSION for user (DEEDO72) (5 occurrences)
**** Unknown item %SUNTZU for user (PEZETTO) (2 occurrences)
**** Unknown item %TIMELINEPOLSKA for user (PEZETTO) (1 occurrence)
**** Unknown item %T_I_M_E_STORIES for user (DEEDO72) (5 occurrences)
**** Unknown item %VICEROY for user (DEEDO72) (5 occurrences)
**** Unknown item %VICEROY for user (PEZETTO) (1 occurrence)
**** Unknown item 1007 (1 occurrence)
**** Unknown item 1049 (1 occurrence)
**** Unknown item 1250 (1 occurrence)
**** Unknown item 304 (21 occurrences)
**** Unknown item 305 (19 occurrences)
**** Unknown item 306 (2 occurrences)
**** Unknown item 307 (1 occurrence)
**** Unknown item 308 (47 occurrences)
**** Unknown item 309 (1 occurrence)
**** Unknown item 310 (1 occurrence)
**** Unknown item 311 (1 occurrence)
**** Unknown item 312 (2 occurrences)
**** Unknown item 368 (1 occurrence)
**** Unknown item 369 (1 occurrence)
**** Unknown item 400 (41 occurrences)
**** Unknown item 677 (1 occurrence)
**** Unknown item 703 (12 occurrences)
**** Unknown item 704 (14 occurrences)
**** Unknown item 705 (7 occurrences)
**** Unknown item 706 (13 occurrences)
**** Unknown item 707 (23 occurrences)
**** Unknown item 708 (40 occurrences)
**** Unknown item 711 (16 occurrences)
**** Unknown item 801 (8 occurrences)
**** Unknown item 802 (8 occurrences)

TRADE LOOPS (183 total trades):

(_AIS_) 187           receives (DENINIS) 662
(DENINIS) 662         receives (RAZUL) 98
(RAZUL) 98            receives (TOMB66) 573
(TOMB66) 573          receives (OMAM1234) 175
(OMAM1234) 175        receives (DENINIS) 666
(DENINIS) 666         receives (JAX7) 758
(JAX7) 758            receives (EMUNOWAK) 359
(EMUNOWAK) 359        receives (ADMI99) 497
(ADMI99) 497          receives (CORABB) 797
(CORABB) 797          receives (KMET) 535
(KMET) 535            receives (VIRNIK) 581
(VIRNIK) 581          receives (INDAREK) 742
(INDAREK) 742         receives (LUBEL) 616
(LUBEL) 616           receives (DOMBAS) 609
(DOMBAS) 609          receives (COIN22) 46
(COIN22) 46           receives (ANACROSS) 601
(ANACROSS) 601        receives (HEARDALIS) 480
(HEARDALIS) 480       receives (STROJU) 657
(STROJU) 657          receives (MIOTELKA) 182
(MIOTELKA) 182        receives (PIECHU) 218
(PIECHU) 218          receives (RAZUL) 114
(RAZUL) 114           receives (SHADOWA) 671
(SHADOWA) 671         receives (CHAOS1981OL) 176
(CHAOS1981OL) 176     receives (THELKAAR) 744
(THELKAAR) 744        receives (TOMB66) 576
(TOMB66) 576          receives (OMAM1234) 174
(OMAM1234) 174        receives (TUMINURE) 433
(TUMINURE) 433        receives (TIKTUK) 291
(TIKTUK) 291          receives (TEHANU) 261
(TEHANU) 261          receives (FANTAZYN) 344
(FANTAZYN) 344        receives (PITONOWIE) 803
(PITONOWIE) 803       receives (MAT_EYO) 423
(MAT_EYO) 423         receives (JACEK_PL) 164
(JACEK_PL) 164        receives (CRSUNIK) 121
(CRSUNIK) 121         receives (RAZUL) 97
(RAZUL) 97            receives (PROBBI) 486
(PROBBI) 486          receives (STROJU) 642
(STROJU) 642          receives (VENOSTHE) 370
(VENOSTHE) 370        receives (SEBASAMURAI) 146
(SEBASAMURAI) 146     receives (ZBAJSZEK) 313
(ZBAJSZEK) 313        receives (LUBEL) 264
(LUBEL) 264           receives (MIOTELKA) 185
(MIOTELKA) 185        receives (BARTG) 701
(BARTG) 701           receives (PIECHU) 238
(PIECHU) 238          receives (FURAN) 718
(FURAN) 718           receives (MAZUR84) 406
(MAZUR84) 406         receives (8JANEK8) 496
(8JANEK8) 496         receives (ANIOL1979) 809
(ANIOL1979) 809       receives (PATOLD) 324
(PATOLD) 324          receives (RAZUL) 103
(RAZUL) 103           receives (TEHANU) 258
(TEHANU) 258          receives (_AIS_) 187

(_AIS_) 193           receives (CHAABER) 273
(CHAABER) 273         receives (WARDO89) 514
(WARDO89) 514         receives (GRZECHOO104) 600
(GRZECHOO104) 600     receives (QBALDUS1) 420
(QBALDUS1) 420        receives (MALEKITH_86) 21
(MALEKITH_86) 21      receives (ARNIK) 151
(ARNIK) 151           receives (WASSAGO) 667
(WASSAGO) 667         receives (RAZUL) 101
(RAZUL) 101           receives (KMET) 533
(KMET) 533            receives (RAZUL) 113
(RAZUL) 113           receives (BARTG) 695
(BARTG) 695           receives (KORALKEA) 460
(KORALKEA) 460        receives (HELBENTFORLEDER) 688
(HELBENTFORLEDER) 688 receives (KONTRABAS) 579
(KONTRABAS) 579       receives (POKET) 721
(POKET) 721           receives (BODZIO661) 453
(BODZIO661) 453       receives (JENNY70) 481
(JENNY70) 481         receives (MALEKITH_86) 16
(MALEKITH_86) 16      receives (PITONOWIE) 649
(PITONOWIE) 649       receives (RAZUL) 102
(RAZUL) 102           receives (ANIOL1979) 815
(ANIOL1979) 815       receives (GODUNOW) 270
(GODUNOW) 270         receives (BODZIO661) 452
(BODZIO661) 452       receives (HARUN) 54
(HARUN) 54            receives (PROBBI) 490
(PROBBI) 490          receives (BODZIO661) 455
(BODZIO661) 455       receives (JENNY70) 482
