TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5a909d60639dc9db6755bfd2fdb91a4c
ERRORS:
**** Item %WENDAKE for user (MELLOWFRUIT) is repeated in want list for 451.
**** Item %YETI for user (SIPIO) is repeated in want list for 313.
**** Item 113 contains item 107 sender from the same user ((FIZOLOF))
**** Item 113 contains item 111 sender from the same user ((FIZOLOF))
**** Item 115 contains item 107 sender from the same user ((FIZOLOF))
**** Item 115 contains item 111 sender from the same user ((FIZOLOF))
**** Item 116 contains item 107 sender from the same user ((FIZOLOF))
**** Item 116 contains item 111 sender from the same user ((FIZOLOF))
**** Item 126 is repeated in want list for 113.
**** Item 126 is repeated in want list for 115.
**** Item 126 is repeated in want list for 116.
**** Item 644 is repeated in want list for 113.
**** Item 644 is repeated in want list for 115.
**** Item 644 is repeated in want list for 116.
**** Item 669 is repeated in want list for 468.
**** Item 669 is repeated in want list for 469.
**** Item 669 is repeated in want list for 470.
**** Item 676 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item 676 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item 100 (5 occurrences)
**** Unknown item 108 (9 occurrences)
**** Unknown item 110 (9 occurrences)
**** Unknown item 112 (8 occurrences)
**** Unknown item 114 (17 occurrences)
**** Unknown item 173 (12 occurrences)
**** Unknown item 268 (2 occurrences)
**** Unknown item 576 (11 occurrences)
**** Unknown item 577 (17 occurrences)
**** Unknown item 578 (5 occurrences)
**** Unknown item 579 (4 occurrences)
**** Unknown item 580 (3 occurrences)
**** Unknown item 581 (6 occurrences)
**** Unknown item 713 (3 occurrences)
**** Unknown item 714 (3 occurrences)
**** Unknown item 715 (3 occurrences)
**** Unknown item 716 (3 occurrences)
**** Unknown item 717 (5 occurrences)
**** Unknown item 718 (5 occurrences)
**** Unknown item 719 (3 occurrences)
**** Unknown item 721 (3 occurrences)
**** Unknown item 722 (4 occurrences)
**** Unknown item 723 (3 occurrences)
**** Unknown item 724 (3 occurrences)
**** Unknown item 725 (4 occurrences)
**** Unknown item 790 (10 occurrences)
**** Unknown item 792 (3 occurrences)
**** Unknown item 794 (11 occurrences)
**** Unknown item 796 (3 occurrences)
**** Unknown item 89 (4 occurrences)
**** Unknown item 90 (8 occurrences)
**** Unknown item 94 (4 occurrences)
**** Unknown item 95 (5 occurrences)
**** Unknown item 96 (4 occurrences)
**** Unknown item 97 (4 occurrences)

TRADE LOOPS (147 total trades):

(_AIS_) 602             receives (ADMI99) 91
(ADMI99) 91             receives (KLOS_X) 254
(KLOS_X) 254            receives (DONKICHOTE87) 418
(DONKICHOTE87) 418      receives (ANIAGA) 201
(ANIAGA) 201            receives (BALIS) 704
(BALIS) 704             receives (SYDONIAA) 17
(SYDONIAA) 17           receives (MALEKITH_86) 25
(MALEKITH_86) 25        receives (DONKICHOTE87) 417
(DONKICHOTE87) 417      receives (GOLONKO) 171
(GOLONKO) 171           receives (RAZUL) 780
(RAZUL) 780             receives (NADIS) 383
(NADIS) 383             receives (LUBOY) 44
(LUBOY) 44              receives (KASZKIET) 125
(KASZKIET) 125          receives (KROMKA) 43
(KROMKA) 43             receives (SCHLESSIER) 380
(SCHLESSIER) 380        receives (TUMINURE) 766
(TUMINURE) 766          receives (FIZOLOF) 105
(FIZOLOF) 105           receives (KLOS_X) 251
(KLOS_X) 251            receives (DONKICHOTE87) 419
(DONKICHOTE87) 419      receives (FPS_PYZ) 471
(FPS_PYZ) 471           receives (STRASZNY) 649
(STRASZNY) 649          receives (KOSHIASH) 223
(KOSHIASH) 223          receives (RUDEMAN) 277
(RUDEMAN) 277           receives (GURTH) 645
(GURTH) 645             receives (SYDONIAA) 11
(SYDONIAA) 11           receives (OSTRY) 793
(OSTRY) 793             receives (MAT_EYO) 667
(MAT_EYO) 667           receives (TRNKS_) 352
(TRNKS_) 352            receives (MELLOWFRUIT) 434
(MELLOWFRUIT) 434       receives (LUBOY) 42
(LUBOY) 42              receives (MAJKOS) 726
(MAJKOS) 726            receives (MUK83) 412
(MUK83) 412             receives (KRISSOS) 404
(KRISSOS) 404           receives (KMET) 686
(KMET) 686              receives (RAZUL) 770
(RAZUL) 770             receives (OSTRY) 783
(OSTRY) 783             receives (TUMINURE) 761
(TUMINURE) 761          receives (KRIONAH) 374
(KRIONAH) 374           receives (GRUNWALD) 341
(GRUNWALD) 341          receives (MALEKITH_86) 28
(MALEKITH_86) 28        receives (CIUNIEK) 485
(CIUNIEK) 485           receives (MAT_EYO) 671
(MAT_EYO) 671           receives (CIUNIEK) 484
(CIUNIEK) 484           receives (TIKTUK) 552
(TIKTUK) 552            receives (LUBEL) 309
(LUBEL) 309             receives (TUMINURE) 764
(TUMINURE) 764          receives (JONEK) 676
(JONEK) 676             receives (SPRYSIALDO) 428
(SPRYSIALDO) 428        receives (LASSE LINDSTROM) 639
(LASSE LINDSTROM) 639   receives (STRASZNY) 654
(STRASZNY) 654          receives (NEKKORU) 661
(NEKKORU) 661           receives (SANDY86) 515
(SANDY86) 515           receives (PROBBI) 290
(PROBBI) 290            receives (CRSUNIK) 81
(CRSUNIK) 81            receives (ARHTU) 334
(ARHTU) 334             receives (JACEKBARBER) 413
(JACEKBARBER) 413       receives (MACKILL) 98
(MACKILL) 98            receives (NADIS) 385
(NADIS) 385             receives (MARDAR) 176
(MARDAR) 176            receives (RUSS) 615
(RUSS) 615              receives (ROXAS1231) 630
(ROXAS1231) 630         receives (KASZKIET) 131
(KASZKIET) 131          receives (QBALDUS1) 119
(QBALDUS1) 119          receives (STASZEK) 466
(STASZEK) 466           receives (FIZOLOF) 107
(FIZOLOF) 107           receives (ROXAS1231) 632
(ROXAS1231) 632         receives (GRUNWALD) 343
(GRUNWALD) 343          receives (_AIS_) 604
(_AIS_) 604             receives (KRISSOS) 402
