TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 5c9b54cb33ab9736ee4568f2ee5e2a
ERRORS:
**** Item %AGRICOLA for user (CHRUSZCZOW) is repeated in want list for 91.
**** Item %HANNIBAL__ROME_VS__CARTHAGE for user (GIGI) is repeated in want list for 613.
**** Item %ROLLFTG for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 243.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 244.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 245.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 246.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 247.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 248.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 249.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 250.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 251.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 252.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 253.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 254.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 256.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 257.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 258.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 260.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 261.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 262.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 263.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 264.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 265.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 266.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 267.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 268.
**** Item %ROLLFTG for user (PIECHU) is repeated in want list for 269.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 358.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 359.
**** Item %SID_MEIER_S_CIVILIZATION_A_NEW_DAWN for user (WODA) is repeated in want list for 360.
**** Item %THE_VOYAGES_OF_MARCO_POLO for user (JENNY70) is repeated in want list for 573.
**** Item %THE_WITCHER_ADVENTURE_GAME for user (JENNY70) is repeated in want list for 573.
**** Item %TRIASSIC_TERROR for user (JENNY70) is repeated in want list for 573.
**** Item %VILLAGESOFVALERIA for user (BARTP) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 193.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 194.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 195.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 196.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 197.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 198.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 200.
**** Item %VILLAGESOFVALERIA for user (BARTP) is repeated in want list for 371.
**** Item 250 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Unknown item %KINGSBURG__SECOND_EDITION for user (ADALBERT) (1 occurrence)
**** Unknown item 1038 (1 occurrence)
**** Unknown item 1058 (1 occurrence)
**** Unknown item 1069 (1 occurrence)
**** Unknown item 11 (1 occurrence)
**** Unknown item 1111 (1 occurrence)
**** Unknown item 1120 (1 occurrence)
**** Unknown item 1142 (1 occurrence)
**** Unknown item 1196 (1 occurrence)
**** Unknown item 1197 (1 occurrence)
**** Unknown item 1234 (1 occurrence)
**** Unknown item 1257 (1 occurrence)
**** Unknown item 1265 (1 occurrence)
**** Unknown item 1290 (1 occurrence)
**** Unknown item 1302 (1 occurrence)
**** Unknown item 1346 (1 occurrence)
**** Unknown item 1387 (1 occurrence)
**** Unknown item 1388 (1 occurrence)
**** Unknown item 1389 (1 occurrence)
**** Unknown item 1432 (1 occurrence)
**** Unknown item 1507 (1 occurrence)
**** Unknown item 1517 (1 occurrence)
**** Unknown item 1547 (1 occurrence)
**** Unknown item 1548 (1 occurrence)
**** Unknown item 1563 (1 occurrence)
**** Unknown item 1573 (1 occurrence)
**** Unknown item 2849 (1 occurrence)
**** Unknown item 324214 (1 occurrence)
**** Unknown item 541 (2 occurrences)
**** Unknown item 542 (2 occurrences)
**** Unknown item 610 (13 occurrences)
**** Unknown item 723 (1 occurrence)
**** Unknown item 724 (1 occurrence)
**** Unknown item 725 (9 occurrences)
**** Unknown item 726 (1 occurrence)
**** Unknown item 729 (26 occurrences)
**** Unknown item 731 (13 occurrences)
**** Unknown item 732 (7 occurrences)
**** Unknown item 733 (1 occurrence)
**** Unknown item 920 (44 occurrences)
**** Unknown item 922 (38 occurrences)
**** Unknown item 926 (17 occurrences)

TRADE LOOPS (206 total trades):

(_AIS_) 825             receives (KRIONAH) 642
(KRIONAH) 642           receives (CORABB) 441
(CORABB) 441            receives (LUBEL) 333
(LUBEL) 333             receives (RZEZIO) 288
(RZEZIO) 288            receives (MALEKITH_86) 766
(MALEKITH_86) 766       receives (RAZUL) 672
(RAZUL) 672             receives (KAMIL27) 169
(KAMIL27) 169           receives (HARUN) 621
(HARUN) 621             receives (RAZUL) 299
(RAZUL) 299             receives (CRSUNIK) 143
(CRSUNIK) 143           receives (MALEKITH_86) 783
(MALEKITH_86) 783       receives (NAJPERSKLAKA) 837
(NAJPERSKLAKA) 837      receives (DRKLINGMANN) 741
(DRKLINGMANN) 741       receives (BLACKSLACK) 188
(BLACKSLACK) 188        receives (CACTUSSE) 95
(CACTUSSE) 95           receives (PIECHU) 264
(PIECHU) 264            receives (YUZJANNOWITZ) 141
(YUZJANNOWITZ) 141      receives (LKOPER) 362
(LKOPER) 362            receives (BOBULE) 50
(BOBULE) 50             receives (SASQUACH77) 863
(SASQUACH77) 863        receives (JONEK) 721
(JONEK) 721             receives (OMAM1234) 633
(OMAM1234) 633          receives (COIN22) 544
(COIN22) 544            receives (B3R53RK3R) 748
(B3R53RK3R) 748         receives (ZERO_1627) 81
(ZERO_1627) 81          receives (FIZOLOF) 915
(FIZOLOF) 915           receives (LHAPKA) 393
(LHAPKA) 393            receives (WAPNIAK) 466
(WAPNIAK) 466           receives (KRISSOS) 454
(KRISSOS) 454           receives (MEFIUG) 113
(MEFIUG) 113            receives (NEWGATE) 234
(NEWGATE) 234           receives (BARTI18) 481
(BARTI18) 481           receives (CYBEROWCA) 224
(CYBEROWCA) 224         receives (WHITE_BABIRUSA) 552
(WHITE_BABIRUSA) 552    receives (GRUNWALD) 58
(GRUNWALD) 58           receives (KASZKIET) 218
(KASZKIET) 218          receives (VELJAREK) 392
(VELJAREK) 392          receives (PERO PAMBARASCO) 746
(PERO PAMBARASCO) 746   receives (GEKOPL) 462
(GEKOPL) 462            receives (QBALDUS1) 405
(QBALDUS1) 405          receives (LUBEL) 340
(LUBEL) 340             receives (MELLOWFRUIT) 178
(MELLOWFRUIT) 178       receives (AMANDOR) 84
(AMANDOR) 84            receives (WHITE_BABIRUSA) 556
(WHITE_BABIRUSA) 556    receives (OSTRY) 1023
(OSTRY) 1023            receives (RAZUL) 329
(RAZUL) 329             receives (PAWELACB) 752
(PAWELACB) 752          receives (PIECHU) 253
(PIECHU) 253            receives (RAZUL) 327
(RAZUL) 327             receives (MNOWACZY) 353
(MNOWACZY) 353          receives (JENNY70) 577
(JENNY70) 577           receives (PIECHU) 238
(PIECHU) 238            receives (CORABB) 442
(CORABB) 442            receives (SIPIO) 599
(SIPIO) 599             receives (PAWELACB) 751
(PAWELACB) 751          receives (BLACKSLACK) 179
(BLACKSLACK) 179        receives (MELLOWFRUIT) 177
(MELLOWFRUIT) 177       receives (COIN22) 546
(COIN22) 546            receives (WODA) 361
(WODA) 361              receives (ANOPTICHTYS) 25
(ANOPTICHTYS) 25        receives (CRSUNIK) 142
(CRSUNIK) 142           receives (TOMB66) 844
(TOMB66) 844            receives (KONRADSTPN) 944
(KONRADSTPN) 944        receives (ANOPTICHTYS) 1027
(ANOPTICHTYS) 1027      receives (KONTRABAS) 803
(KONTRABAS) 803         receives (EREM) 640
(EREM) 640              receives (SYDONIAA) 6
(SYDONIAA) 6            receives (VELJAREK) 383
(VELJAREK) 383          receives (KASZKIET) 215
(KASZKIET) 215          receives (8JANEK8) 841
(8JANEK8) 841           receives (CACTUSSE) 112
(CACTUSSE) 112          receives (SIPIO) 598
(SIPIO) 598             receives (SASQUACH77) 868
(SASQUACH77) 868        receives (PTKW) 399
(PTKW) 399              receives (KASZKIET) 223
(KASZKIET) 223          receives (PIECHU) 249
(PIECHU) 249            receives (TUMINURE) 811
(TUMINURE) 811          receives (BALIS) 885
(BALIS) 885             receives (GIGI) 613
(GIGI) 613              receives (RAZUL) 326
(RAZUL) 326             receives (INDAREK) 910
(INDAREK) 910           receives (APIEJH) 735
(APIEJH) 735            receives (ANOPTICHTYS) 1025
(ANOPTICHTYS) 1025      receives (MATGIE) 343
(MATGIE) 343            receives (ROXAS1231) 757
(ROXAS1231) 757         receives (TUMINURE) 809
(TUMINURE) 809          receives (MILEV) 989
(MILEV) 989             receives (EXDEATH44) 372
(EXDEATH44) 372         receives (GRZECHOO104) 916
(GRZECHOO104) 916       receives (PROBBI) 864
(PROBBI) 864            receives (BOGUSZO) 813
(BOGUSZO) 813           receives (STRASZNY) 653
(STRASZNY) 653          receives (APIEJH) 736
(APIEJH) 736            receives (RAZUL) 681
(RAZUL) 681             receives (RZEZIO) 289
(RZEZIO) 289            receives (CHRUSZCZOW) 91
(CHRUSZCZOW) 91         receives (ROXAS1231) 759
(ROXAS1231) 759         receives (NEWGATE) 235
(NEWGATE) 235           receives (WAPNIAK) 468
(WAPNIAK) 468           receives (BARTI18) 950
(BARTI18) 950           receives (ADMI99) 72
(ADMI99) 72             receives (KASZKIET) 220
(KASZKIET) 220          receives (GURTH) 800
(GURTH) 800             receives (LKOPER) 365
(LKOPER) 365            receives (ADMI99) 484
(ADMI99) 484            receives (JINGOWAWA) 174
(JINGOWAWA) 174         receives (NEWGATE) 236
(NEWGATE) 236           receives (PROBBI) 871
(PROBBI) 871            receives (NEKKORU) 47
(NEKKORU) 47            receives (OMAM1234) 632
(OMAM1234) 632          receives (DONKICHOTE87) 974
(DONKICHOTE87) 974      receives (GRUNWALD) 51
(GRUNWALD) 51           receives (CACTUSSE) 96
(CACTUSSE) 96           receives (GAMBIT_GGK) 904
(GAMBIT_GGK) 904        receives (KASZKIET) 214
(KASZKIET) 214          receives (MALEKITH_86) 785
(MALEKITH_86) 785       receives (BADYL) 579
(BADYL) 579             receives (KAMIL27) 172
(KAMIL27) 172           receives (MALEKITH_86) 782
(MALEKITH_86) 782       receives (8JANEK8) 835
(8JANEK8) 835           receives (LYSYPK) 799
(LYSYPK) 799            receives (MILEV) 988
(MILEV) 988             receives (GRZECHOO104) 943
(GRZECHOO104) 943       receives (LUBEL) 339
(LUBEL) 339             receives (SYDONIAA) 1
(SYDONIAA) 1            receives (JOANNA_KOZLOWSKA6) 616
(JOANNA_KOZLOWSKA6) 616 receives (SYDONIAA) 483
(SYDONIAA) 483          receives (RAZUL) 332
