TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: ac355fec980c43814678863627de8c9
ERRORS:
**** Item %CACAO for user (MOCKINGBIRD5433) is repeated in want list for 464.
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CENTURY__EASTERN_WONDERS for user (JINGOWAWA) is repeated in want list for 802.
**** Item %CLOCKWORKWARS for user (KARRIARI) is repeated in want list for 705.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 245.
**** Item %COLTEXPRESS for user (OMAM1234) is repeated in want list for 247.
**** Item %FIVETRIBES for user (CORQAN) is repeated in want list for 187.
**** Item %THROUGH_THE_AGES_A_NEW_STORY_OF_CIVILIZATION for user (TENCZ) is repeated in want list for 591.
**** Item %T_I_M_E_STORIES for user (BROM69) is repeated in want list for 336.
**** Item 169 is repeated in want list for 915.
**** Item 169 is repeated in want list for 916.
**** Item 169 is repeated in want list for 917.
**** Item 169 is repeated in want list for 937.
**** Item 169 is repeated in want list for 951.
**** Item 963 contains item 936 sender from the same user ((POKET))
**** Item 973 is repeated in want list for 245.
**** Unknown item %CENTURY_A_NEW_WORLD for user (MEFIUG) (6 occurrences)
**** Unknown item %DECKSCAPE_TEST_TIME_DECKSCAPE_THE_FATE_OF_LONDON for user (ADMI99) (1 occurrence)
**** Unknown item %KING_OF_TOKYO_KING_OF_TOKYO_POWER_UP_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_CTHULHU_KING_OF_TOKYO_NEW_YORK_MONSTER_PACK_KING_KONG for user (MEFIUG) (5 occurrences)
**** Unknown item 306 (2 occurrences)
**** Unknown item 412 (11 occurrences)
**** Unknown item 480 (6 occurrences)
**** Unknown item 484 (11 occurrences)
**** Unknown item 708 (12 occurrences)
**** Unknown item 907 (5 occurrences)
**** Unknown item 909 (12 occurrences)
**** Unknown item 910 (1 occurrence)
**** Unknown item 912 (2 occurrences)
**** Unknown item 913 (2 occurrences)
**** Unknown item 945 (21 occurrences)
**** Unknown item 946 (13 occurrences)

TRADE LOOPS (209 total trades):

(_AIS_) 884            receives (WOTHAN) 137
(WOTHAN) 137           receives (MALEKITH_86) 33
(MALEKITH_86) 33       receives (MILEV) 979
(MILEV) 979            receives (CORABB) 709
(CORABB) 709           receives (MELUSINA) 965
(MELUSINA) 965         receives (KONRADSTPN) 295
(KONRADSTPN) 295       receives (LASSE LINDSTROM) 589
(LASSE LINDSTROM) 589  receives (DERTAZ) 927
(DERTAZ) 927           receives (PROBBI) 581
(PROBBI) 581           receives (BROM69) 335
(BROM69) 335           receives (ARCRAYD) 554
(ARCRAYD) 554          receives (GINET1) 764
(GINET1) 764           receives (ADALBERT) 215
(ADALBERT) 215         receives (JINGOWAWA) 802
(JINGOWAWA) 802        receives (MOCKINGBIRD5433) 877
(MOCKINGBIRD5433) 877  receives (RAZUL) 237
(RAZUL) 237            receives (SWONICK) 315
(SWONICK) 315          receives (KASZKIET) 403
(KASZKIET) 403         receives (MELUSINA) 967
(MELUSINA) 967         receives (KONRADSTPN) 866
(KONRADSTPN) 866       receives (KDSZ) 59
(KDSZ) 59              receives (STASZEK) 1017
(STASZEK) 1017         receives (SIENJASIEK) 904
(SIENJASIEK) 904       receives (DERTAZ) 914
(DERTAZ) 914           receives (NOOWY) 786
(NOOWY) 786            receives (PIOTR1) 277
(PIOTR1) 277           receives (MOCKINGBIRD5433) 468
(MOCKINGBIRD5433) 468  receives (FANTAZYN) 268
(FANTAZYN) 268         receives (KMET) 614
(KMET) 614             receives (KLOS_X) 382
(KLOS_X) 382           receives (POKET) 944
(POKET) 944            receives (LASSE LINDSTROM) 585
(LASSE LINDSTROM) 585  receives (KRIONAH) 351
(KRIONAH) 351          receives (ULUSIEK) 129
(ULUSIEK) 129          receives (RAZUL) 228
(RAZUL) 228            receives (ZBAJSZEK) 598
(ZBAJSZEK) 598         receives (MICZI92) 183
(MICZI92) 183          receives (ZBAJSZEK) 596
(ZBAJSZEK) 596         receives (CZUJNYOBSERWATOR) 344
(CZUJNYOBSERWATOR) 344 receives (MYNAHPL) 939
(MYNAHPL) 939          receives (MOCKINGBIRD5433) 456
(MOCKINGBIRD5433) 456  receives (BALIS) 746
(BALIS) 746            receives (KASZKIET) 402
(KASZKIET) 402         receives (B3R53RK3R) 762
(B3R53RK3R) 762        receives (SIREVAN) 69
(SIREVAN) 69           receives (ADMI99) 265
(ADMI99) 265           receives (KONRADSTPN) 303
(KONRADSTPN) 303       receives (LOTHRAIN) 900
(LOTHRAIN) 900         receives (MALEKITH_86) 26
(MALEKITH_86) 26       receives (SZLESZYM) 65
(SZLESZYM) 65          receives (RAZUL) 89
(RAZUL) 89             receives (KARRIARI) 687
(KARRIARI) 687         receives (RAZUL) 1011
(RAZUL) 1011           receives (WAPNIAK) 317
(WAPNIAK) 317          receives (MALEKITH_86) 29
(MALEKITH_86) 29       receives (MAT_EYO) 559
(MAT_EYO) 559          receives (LOTHRAIN) 891
(LOTHRAIN) 891         receives (PITONOWIE) 733
(PITONOWIE) 733        receives (BARTP) 128
(BARTP) 128            receives (GOLONKO) 325
(GOLONKO) 325          receives (MAT_EYO) 206
(MAT_EYO) 206          receives (ADMI99) 482
(ADMI99) 482           receives (KOSTYR) 993
(KOSTYR) 993           receives (OMAM1234) 248
(OMAM1234) 248         receives (KLOS_X) 376
(KLOS_X) 376           receives (ZBAJSZEK) 604
(ZBAJSZEK) 604         receives (MELUSINA) 969
(MELUSINA) 969         receives (MAZUR84) 683
(MAZUR84) 683          receives (MICZI92) 182
(MICZI92) 182          receives (CORQAN) 186
(CORQAN) 186           receives (BROM69) 332
(BROM69) 332           receives (CAMEROON) 337
(CAMEROON) 337         receives (PIECHU) 164
(PIECHU) 164           receives (TOMZAQ) 515
(TOMZAQ) 515           receives (GOLONKO) 322
(GOLONKO) 322          receives (BALIS) 727
(BALIS) 727            receives (JACEKBARBER) 778
(JACEKBARBER) 778      receives (RAZUL) 235
(RAZUL) 235            receives (ARCRAYD) 555
(ARCRAYD) 555          receives (SHADOWA) 607
(SHADOWA) 607          receives (BAGESE) 496
(BAGESE) 496           receives (SCHLESSIER) 507
(SCHLESSIER) 507       receives (RAZUL) 232
(RAZUL) 232            receives (M1SHA) 886
(M1SHA) 886            receives (SIENJASIEK) 902
(SIENJASIEK) 902       receives (KONSU) 873
(KONSU) 873            receives (MALKOLMX) 853
(MALKOLMX) 853         receives (RAZUL) 577
(RAZUL) 577            receives (KOSTYR) 995
(KOSTYR) 995           receives (MEFIUG) 434
(MEFIUG) 434           receives (JENNY70) 845
(JENNY70) 845          receives (VORONWE) 479
(VORONWE) 479          receives (SIPIO) 632
(SIPIO) 632            receives (GINET1) 765
(GINET1) 765           receives (JENNY70) 839
(JENNY70) 839          receives (CORTUMPL) 490
(CORTUMPL) 490         receives (WAPNIAK) 330
(WAPNIAK) 330          receives (MEFIUG) 421
(MEFIUG) 421           receives (ARCRAYD) 557
(ARCRAYD) 557          receives (BROM69) 333
(BROM69) 333           receives (CORABB) 710
(CORABB) 710           receives (TOMZAQ) 514
(TOMZAQ) 514           receives (MINNENMIN) 261
(MINNENMIN) 261        receives (KLOS_X) 374
(KLOS_X) 374           receives (BARTP) 123
(BARTP) 123            receives (KASZKIET) 400
(KASZKIET) 400         receives (MAT_EYO) 200
(MAT_EYO) 200          receives (PUASHEY90) 147
(PUASHEY90) 147        receives (RAZUL) 219
(RAZUL) 219            receives (ADALBERT) 212
(ADALBERT) 212         receives (MALEKITH_86) 19
(MALEKITH_86) 19       receives (LOMAX1983) 55
(LOMAX1983) 55         receives (CAMEROON) 338
(CAMEROON) 338         receives (MEFIUG) 824
(MEFIUG) 824           receives (MONOPOLYOWNS) 256
(MONOPOLYOWNS) 256     receives (SIENJASIEK) 897
(SIENJASIEK) 897       receives (SWONICK) 485
(SWONICK) 485          receives (PTKW) 64
(PTKW) 64              receives (CRSUNIK) 816
(CRSUNIK) 816          receives (PIECHU) 168
(PIECHU) 168           receives (CORQAN) 187
(CORQAN) 187           receives (HANIAAA) 238
(HANIAAA) 238          receives (GRALA) 259
(GRALA) 259            receives (RAZUL) 87
(RAZUL) 87             receives (JENNY70) 842
(JENNY70) 842          receives (MOCKINGBIRD5433) 463
(MOCKINGBIRD5433) 463  receives (GINET1) 766
(GINET1) 766           receives (PERO PAMBARASCO) 856
(PERO PAMBARASCO) 856  receives (GURTH) 685
(GURTH) 685            receives (GRALA) 258
(GRALA) 258            receives (KIDI) 532
(KIDI) 532             receives (ARMIGER) 80
(ARMIGER) 80           receives (TUMINURE) 1001
(TUMINURE) 1001        receives (BARTP) 556
(BARTP) 556            receives (RAZUL) 229
(RAZUL) 229            receives (SCHLESSIER) 506
(SCHLESSIER) 506       receives (MOCKINGBIRD5433) 878
(MOCKINGBIRD5433) 878  receives (DERTAZ) 925
(DERTAZ) 925           receives (NOOWY) 997
(NOOWY) 997            receives (MALKOLMX) 860
(MALKOLMX) 860         receives (MINNENMIN) 263
(MINNENMIN) 263        receives (8RAMBO88) 251
(8RAMBO88) 251         receives (KONSU) 869
(KONSU) 869            receives (SWONICK) 312
(SWONICK) 312          receives (MEFIUG) 429
(MEFIUG) 429           receives (BROM69) 336
(BROM69) 336           receives (ZERO_1627) 271
(ZERO_1627) 271        receives (KDSZ) 60
(KDSZ) 60              receives (RAZUL) 236
(RAZUL) 236            receives (OSTRY) 657
(OSTRY) 657            receives (GINET1) 772
(GINET1) 772           receives (ZBAJSZEK) 601
