TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: cac0f45840fba15bd74221334b32c4e
ERRORS:
**** Item %DECEPTION_MURDER_IN_HONG_KONG for user (MAJKELERYK) is repeated in want list for 917.
**** Item %DECEPTION_MURDER_IN_HONG_KONG for user (MAJKELERYK) is repeated in want list for 918.
**** Item %ECLIPSE for user (TENCZ) is repeated in want list for 692.
**** Item %ECLIPSE for user (TENCZ) is repeated in want list for 693.
**** Item %GLOOMHAVEN for user (TENCZ) is repeated in want list for 692.
**** Item %GLOOMHAVEN for user (TENCZ) is repeated in want list for 693.
**** Item %MAGE_KNIGHT for user (MAJKELERYK) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %MAGE_KNIGHT for user (MAJKELERYK) is repeated in want list for 917.
**** Item %MAGE_KNIGHT for user (MAJKELERYK) is repeated in want list for 918.
**** Item %MAGE_WARS_ARENA for user (MAJKELERYK) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %MAGE_WARS_ARENA for user (MAJKELERYK) is repeated in want list for 917.
**** Item %MAGE_WARS_ARENA for user (MAJKELERYK) is repeated in want list for 918.
**** Item %QUESTELDORADO for user (ZERO_1627) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %QUESTELDORADO for user (ZERO_1627) is repeated in want list for 204.
**** Item %QUESTELDORADO for user (ZERO_1627) is repeated in want list for 205.
**** Item %QUESTELDORADO for user (ZERO_1627) is repeated in want list for 206.
**** Item %QUESTELDORADO for user (ZERO_1627) is repeated in want list for 849.
**** Item %QUESTELDORADO for user (ZERO_1627) is repeated in want list for 850.
**** Item %QUESTELDORADO for user (ZERO_1627) is repeated in want list for 851.
**** Item %UNDERWATER_CITIES for user (MAJKELERYK) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %UNDERWATER_CITIES for user (MAJKELERYK) is repeated in want list for 917.
**** Item %UNDERWATER_CITIES for user (MAJKELERYK) is repeated in want list for 918.
**** Item 1016 is repeated in want list for 10.
**** Item 1016 is repeated in want list for 3.
**** Item 1016 is repeated in want list for 4.
**** Item 1016 is repeated in want list for 5.
**** Item 1016 is repeated in want list for 6.
**** Item 1016 is repeated in want list for 72.
**** Item 1016 is repeated in want list for 8.
**** Item 1016 is repeated in want list for 9.
**** Item 102 is repeated in want list for 10.
**** Item 102 is repeated in want list for 3.
**** Item 1034 is repeated in want list for 604.
**** Item 132 is repeated in want list for 10.
**** Item 132 is repeated in want list for 3.
**** Item 136 is repeated in want list for 10.
**** Item 136 is repeated in want list for 3.
**** Item 376 is repeated in want list for 10.
**** Item 376 is repeated in want list for 3.
**** Item 445 is repeated in want list for 10.
**** Item 445 is repeated in want list for 3.
**** Item 456 is repeated in want list for 388.
**** Item 456 is repeated in want list for 389.
**** Item 456 is repeated in want list for 391.
**** Item 456 is repeated in want list for 392.
**** Item 478 is repeated in want list for 10.
**** Item 478 is repeated in want list for 3.
**** Item 479 is repeated in want list for 10.
**** Item 479 is repeated in want list for 3.
**** Item 676 is repeated in want list for 10.
**** Item 676 is repeated in want list for 3.
**** Item 735 is repeated in want list for 10.
**** Item 735 is repeated in want list for 1013.
**** Item 735 is repeated in want list for 1015.
**** Item 735 is repeated in want list for 2.
**** Item 735 is repeated in want list for 3.
**** Item 735 is repeated in want list for 4.
**** Item 735 is repeated in want list for 5.
**** Item 735 is repeated in want list for 6.
**** Item 735 is repeated in want list for 7.
**** Item 735 is repeated in want list for 72.
**** Item 735 is repeated in want list for 8.
**** Item 735 is repeated in want list for 9.
**** Item 744 is repeated in want list for 10.
**** Item 744 is repeated in want list for 3.
**** Item 789 is repeated in want list for 10.
**** Item 789 is repeated in want list for 3.
**** Item 789 is repeated in want list for 4.
**** Item 789 is repeated in want list for 5.
**** Item 789 is repeated in want list for 6.
**** Item 789 is repeated in want list for 72.
**** Item 789 is repeated in want list for 8.
**** Item 789 is repeated in want list for 9.
**** Item 825 is repeated in want list for 10.
**** Item 825 is repeated in want list for 3.
**** Item 825 is repeated in want list for 4.
**** Item 825 is repeated in want list for 5.
**** Item 825 is repeated in want list for 6.
**** Item 825 is repeated in want list for 72.
**** Item 825 is repeated in want list for 8.
**** Item 825 is repeated in want list for 9.
**** Item 89 is repeated in want list for 603.
**** Item 916 is repeated in want list for 10.
**** Item 916 is repeated in want list for 3.
**** Item 931 is repeated in want list for %PALADINS_OF_THE_WEST_KINGDOM for user (WALTERF).
**** Unknown item %DALE_OF_MERCHANTS for user (WASSAGO) (3 occurrences)
**** Unknown item %WESTERN_LEGENDS_WESTERN_LEGENDS_ANTE_UP for user (WASSAGO) (1 occurrence)
**** Unknown item 1010 (47 occurrences)
**** Unknown item 109 (1 occurrence)
**** Unknown item 111 (1 occurrence)
**** Unknown item 112 (15 occurrences)
**** Unknown item 113 (11 occurrences)
**** Unknown item 114 (13 occurrences)
**** Unknown item 115 (7 occurrences)
**** Unknown item 117 (7 occurrences)
**** Unknown item 118 (2 occurrences)
**** Unknown item 119 (5 occurrences)
**** Unknown item 120 (2 occurrences)
**** Unknown item 121 (5 occurrences)
**** Unknown item 137 (24 occurrences)
**** Unknown item 138 (30 occurrences)
**** Unknown item 140 (5 occurrences)
**** Unknown item 142 (12 occurrences)
**** Unknown item 143 (1 occurrence)
**** Unknown item 145 (8 occurrences)
**** Unknown item 156 (1 occurrence)
**** Unknown item 282 (23 occurrences)
**** Unknown item 283 (15 occurrences)
**** Unknown item 284 (9 occurrences)
**** Unknown item 285 (7 occurrences)
**** Unknown item 414 (8 occurrences)
**** Unknown item 415 (16 occurrences)
**** Unknown item 416 (28 occurrences)
**** Unknown item 417 (29 occurrences)
**** Unknown item 483 (48 occurrences)
**** Unknown item 484 (26 occurrences)
**** Unknown item 485 (12 occurrences)
**** Unknown item 486 (1 occurrence)
**** Unknown item 487 (61 occurrences)
**** Unknown item 528 (18 occurrences)
**** Unknown item 529 (1 occurrence)
**** Unknown item 530 (10 occurrences)
**** Unknown item 532 (12 occurrences)
**** Unknown item 533 (1 occurrence)
**** Unknown item 535 (3 occurrences)
**** Unknown item 538 (3 occurrences)
**** Unknown item 540 (15 occurrences)
**** Unknown item 542 (15 occurrences)
**** Unknown item 545 (14 occurrences)
**** Unknown item 546 (33 occurrences)
**** Unknown item 559 (4 occurrences)
**** Unknown item 589 (3 occurrences)
**** Unknown item 596 (3 occurrences)
**** Unknown item 597 (6 occurrences)
**** Unknown item 671 (7 occurrences)
**** Unknown item 672 (4 occurrences)

TRADE LOOPS (160 total trades):

(_AIS_) 994             receives (GAMBIT_GGK) 1024
(GAMBIT_GGK) 1024       receives (ZBAJSZEK) 633
(ZBAJSZEK) 633          receives (_AIS_) 994

(_AIS_) 1004            receives (WASSAGO) 715
(WASSAGO) 715           receives (FATHORNET) 760
(FATHORNET) 760         receives (WAPNIAK) 462
(WAPNIAK) 462           receives (PITONOWIE) 824
(PITONOWIE) 824         receives (CHAABER) 564
(CHAABER) 564           receives (MALKOLMX) 381
(MALKOLMX) 381          receives (CORRAN) 422
(CORRAN) 422            receives (KONRADSTPN) 643
(KONRADSTPN) 643        receives (HAPPOSAI) 1029
(HAPPOSAI) 1029         receives (KLOS_X) 316
(KLOS_X) 316            receives (ZBAJSZEK) 626
(ZBAJSZEK) 626          receives (CHAOS1981OL) 166
(CHAOS1981OL) 166       receives (ZERO_1627) 204
(ZERO_1627) 204         receives (KLOS_X) 332
(KLOS_X) 332            receives (GARG) 876
(GARG) 876              receives (KOMIX) 933
(KOMIX) 933             receives (PAWELACB) 663
(PAWELACB) 663          receives (YUZJANNOWITZ) 252
(YUZJANNOWITZ) 252      receives (CAMEROON) 794
(CAMEROON) 794          receives (KDSZ) 135
(KDSZ) 135              receives (FORDY2) 607
(FORDY2) 607            receives (SYDONIAA) 107
(SYDONIAA) 107          receives (MOOCKER) 96
(MOOCKER) 96            receives (GARG) 897
(GARG) 897              receives (BARTP) 184
(BARTP) 184             receives (RAZUL) 506
(RAZUL) 506             receives (BARTP) 188
(BARTP) 188             receives (NEWGATE) 1016
(NEWGATE) 1016          receives (FIZOLOF) 338
(FIZOLOF) 338           receives (NARO) 831
(NARO) 831              receives (KERUKR) 840
(KERUKR) 840            receives (MOOCKER) 41
(MOOCKER) 41            receives (JACEKBARBER) 687
(JACEKBARBER) 687       receives (RB8689) 825
(RB8689) 825            receives (8RAMBO88) 148
(8RAMBO88) 148          receives (WILCZELYKO) 214
(WILCZELYKO) 214        receives (CZUJNYOBSERWATOR) 609
(CZUJNYOBSERWATOR) 609  receives (DERTAZ) 55
(DERTAZ) 55             receives (JA_MAJKA) 531
(JA_MAJKA) 531          receives (CHAOS1981OL) 169
(CHAOS1981OL) 169       receives (BARTP) 200
(BARTP) 200             receives (TOMZAQ) 524
(TOMZAQ) 524            receives (ARGUE) 670
(ARGUE) 670             receives (IDZIOL91) 163
(IDZIOL91) 163          receives (PIECHU) 651
(PIECHU) 651            receives (TENCZ) 693
(TENCZ) 693             receives (PETER128) 431
(PETER128) 431          receives (SIPIO) 244
(SIPIO) 244             receives (MAJKELERYK) 919
(MAJKELERYK) 919        receives (FURAN) 658
(FURAN) 658             receives (CACTUSSE) 955
(CACTUSSE) 955          receives (PIODAG) 722
(PIODAG) 722            receives (MALEKITH_86) 243
(MALEKITH_86) 243       receives (FIZOLOF) 499
(FIZOLOF) 499           receives (SZEWSTER) 131
(SZEWSTER) 131          receives (LAGETH) 937
(LAGETH) 937            receives (KDSZ) 136
(KDSZ) 136              receives (CINEK) 983
(CINEK) 983             receives (RUSS) 702
(RUSS) 702              receives (PITONOWIE) 816
(PITONOWIE) 816         receives (WILCZELYKO) 180
(WILCZELYKO) 180        receives (CORQAN) 161
(CORQAN) 161            receives (DETRYTUS) 685
(DETRYTUS) 685          receives (FATHORNET) 754
(FATHORNET) 754         receives (KLOS_X) 294
(KLOS_X) 294            receives (ATRAPANTHERA) 669
(ATRAPANTHERA) 669      receives (PAWELACB) 600
(PAWELACB) 600          receives (RB8689) 906
(RB8689) 906            receives (DERTAZ) 66
(DERTAZ) 66             receives (8RAMBO88) 146
(8RAMBO88) 146          receives (JACEKBARBER) 690
(JACEKBARBER) 690       receives (WOOL_F) 945
(WOOL_F) 945            receives (ZERO_1627) 855
(ZERO_1627) 855         receives (KDSZ) 269
(KDSZ) 269              receives (PIECHU) 443
(PIECHU) 443            receives (CINEK) 981
(CINEK) 981             receives (FATHORNET) 767
(FATHORNET) 767         receives (SYDONIAA) 100
(SYDONIAA) 100          receives (HAPPOSAI) 1034
(HAPPOSAI) 1034         receives (SYDONIAA) 105
(SYDONIAA) 105          receives (ULUSIEK) 368
(ULUSIEK) 368           receives (RAZUL) 510
(RAZUL) 510             receives (PERO PAMBARASCO) 344
(PERO PAMBARASCO) 344   receives (MUNCHHAUSEN) 592
(MUNCHHAUSEN) 592       receives (IDZIOL91) 160
(IDZIOL91) 160          receives (MAJKELERYK) 920
(MAJKELERYK) 920        receives (8RAMBO88) 152
(8RAMBO88) 152          receives (RB8689) 889
(RB8689) 889            receives (WOOL_F) 948
(WOOL_F) 948            receives (FANTAZYN) 648
(FANTAZYN) 648          receives (BARDOK) 342
(BARDOK) 342            receives (ORZEH) 520
(ORZEH) 520             receives (IDZIOL91) 157
(IDZIOL91) 157          receives (BARDOK) 341
(BARDOK) 341            receives (_AIS_) 1004

(8RAMBO88) 150          receives (ULUSIEK) 365
(ULUSIEK) 365           receives (DRKLINGMANN) 746
(DRKLINGMANN) 746       receives (CRSUNIK) 958
(CRSUNIK) 958           receives (PERO PAMBARASCO) 343
(PERO PAMBARASCO) 343   receives (SZLESZYM) 407
(SZLESZYM) 407          receives (NEWGATE) 1014
(NEWGATE) 1014          receives (PIECHU) 445
(PIECHU) 445            receives (JACEKBARBER) 682
(JACEKBARBER) 682       receives (DRKLINGMANN) 743
(DRKLINGMANN) 743       receives (JOANNA_KOZLOWSKA6) 594
(JOANNA_KOZLOWSKA6) 594 receives (RAZUL) 492
(RAZUL) 492             receives (CRSUNIK) 966
(CRSUNIK) 966           receives (RAZUL) 502
(RAZUL) 502             receives (LAGETH) 936
(LAGETH) 936            receives (PERO PAMBARASCO) 345
(PERO PAMBARASCO) 345   receives (GINET1) 777
(GINET1) 777            receives (PUASHEY90) 803
(PUASHEY90) 803         receives (STASZEK) 790
(STASZEK) 790           receives (8RAMBO88) 150

(ARDEL_PL) 432          receives (MOOCKER) 99
(MOOCKER) 99            receives (PIECHU) 450
(PIECHU) 450            receives (DERTAZ) 79
(DERTAZ) 79             receives (GARG) 869
(GARG) 869              receives (POKET) 1008
(POKET) 1008            receives (KRIONAH) 653
(KRIONAH) 653           receives (KONRADSTPN) 552
(KONRADSTPN) 552        receives (PIECHU) 441
(PIECHU) 441            receives (JA_MAJKA) 471
(JA_MAJKA) 471          receives (PIECHU) 446
(PIECHU) 446            receives (ARDEL_PL) 432

(ARDEL_PL) 433          receives (IDZIOL91) 159
(IDZIOL91) 159          receives (ARDEL_PL) 433

(ARGUE) 636             receives (ENSUISAN) 473
(ENSUISAN) 473          receives (MALKOLMX) 380
(MALKOLMX) 380          receives (ARGUE) 636

(ARHTU) 965             receives (CAMEROON) 799
(CAMEROON) 799          receives (CINEK) 980
(CINEK) 980             receives (GRUCHA) 835
(GRUCHA) 835            receives (WAZKA) 680
(WAZKA) 680             receives (DERTAZ) 7
(DERTAZ) 7              receives (KRIONAH) 652
(KRIONAH) 652           receives (MALEKITH_86) 239
(MALEKITH_86) 239       receives (B3R53RK3R) 793
(B3R53RK3R) 793         receives (KASZKIET) 586
(KASZKIET) 586          receives (PTKW) 659
(PTKW) 659              receives (SHADOWA) 782
(SHADOWA) 782           receives (MOOCKER) 26
(MOOCKER) 26            receives (KROLIS) 224
(KROLIS) 224            receives (SZUTEK) 1000
(SZUTEK) 1000           receives (ARHTU) 965

(BARTP) 198             receives (KASZKIET) 585
(KASZKIET) 585          receives (BARTP) 198

(CHAOS1981OL) 167       receives (JONEK) 390
(JONEK) 390             receives (MALKOLMX) 384
(MALKOLMX) 384          receives (CORQAN) 162
(CORQAN) 162            receives (MALEKITH_86) 234
(MALEKITH_86) 234       receives (FIZOLOF) 497
(FIZOLOF) 497           receives (CHAOS1981OL) 167

(DERTAZ) 50             receives (KACZUCH2142) 580
(KACZUCH2142) 580       receives (JEDIMAVERIC) 456
(JEDIMAVERIC) 456       receives (PAWELACB) 668
(PAWELACB) 668          receives (DERTAZ) 50

ITEM SUMMARY (160 total trades):

(8JANEK8) 266                       does not trade
(8JANEK8) 405                       does not trade
(8JANEK8) 968                       does not trade
(8JANEK8) 972                       does not trade
(8JANEK8) 974                       does not trade
(8JANEK8) 975                       does not trade
(8JANEK8) 976                       does not trade
(8JANEK8) 984                       does not trade
(8RAMBO88) 146          receives (JACEKBARBER) 690       and sends to (DERTAZ) 66
(8RAMBO88) 147                      does not trade
(8RAMBO88) 148          receives (WILCZELYKO) 214        and sends to (RB8689) 825
(8RAMBO88) 149                      does not trade
(8RAMBO88) 150          receives (ULUSIEK) 365           and sends to (STASZEK) 790
(8RAMBO88) 151                      does not trade
(8RAMBO88) 152          receives (RB8689) 889            and sends to (MAJKELERYK) 920
(8RAMBO88) 153                      does not trade
(8RAMBO88) 154                      does not trade
(8RAMBO88) 155                      does not trade
(ADMI99) 122                        does not trade
(ADMI99) 123                        does not trade
(ADMI99) 124                        does not trade
(ADMI99) 125                        does not trade
(ADMI99) 126                        does not trade
(ADMI99) 127                        does not trade
(ADMI99) 128                        does not trade
(ADMI99) 708                        does not trade
(AMACHNO) 426                       does not trade
(AMACHNO) 427                       does not trade
(ANDREZ_PL) 810                     does not trade
(ANDREZ_PL) 811                     does not trade
(ANDREZ_PL) 812                     does not trade
(APIEJH) 751                        does not trade
(APIEJH) 752                        does not trade
(APIEJH) 753                        does not trade
(ARDEL_PL) 432          receives (MOOCKER) 99            and sends to (PIECHU) 446
(ARDEL_PL) 433          receives (IDZIOL91) 159          and sends to (IDZIOL91) 159
(ARGUE) 636             receives (ENSUISAN) 473          and sends to (MALKOLMX) 380
(ARGUE) 637                         does not trade
(ARGUE) 670             receives (IDZIOL91) 163          and sends to (TOMZAQ) 524
(ARHTU) 965             receives (CAMEROON) 799          and sends to (SZUTEK) 1000
(ARHTU) 971                         does not trade
(ARMIGER) 129                       does not trade
(ARMIGER) 130                       does not trade
(ARNIK) 357                         does not trade
(ARNIK) 359                         does not trade
(ATRAPANTHERA) 358                  does not trade
(ATRAPANTHERA) 360                  does not trade
(ATRAPANTHERA) 638                  does not trade
(ATRAPANTHERA) 669      receives (PAWELACB) 600          and sends to (KLOS_X) 294
(B3R53RK3R) 792                     does not trade
(B3R53RK3R) 793         receives (KASZKIET) 586          and sends to (MALEKITH_86) 239
(BAGESE) 466                        does not trade
(BAGESE) 467                        does not trade
(BARDOK) 341            receives (_AIS_) 1004            and sends to (IDZIOL91) 157
(BARDOK) 342            receives (ORZEH) 520             and sends to (FANTAZYN) 648
(BARTP) 182                         does not trade
(BARTP) 183                         does not trade
(BARTP) 184             receives (RAZUL) 506             and sends to (GARG) 897
(BARTP) 185                         does not trade
(BARTP) 186                         does not trade
(BARTP) 187                         does not trade
(BARTP) 188             receives (NEWGATE) 1016          and sends to (RAZUL) 506
(BARTP) 189                         does not trade
(BARTP) 190                         does not trade
(BARTP) 191                         does not trade
(BARTP) 192                         does not trade
(BARTP) 193                         does not trade
(BARTP) 194                         does not trade
(BARTP) 195                         does not trade
(BARTP) 196                         does not trade
(BARTP) 198             receives (KASZKIET) 585          and sends to (KASZKIET) 585
(BARTP) 199                         does not trade
(BARTP) 200             receives (TOMZAQ) 524            and sends to (CHAOS1981OL) 169
(BARTP) 201                         does not trade
(BARTP) 220                         does not trade
(BARTP) 221                         does not trade
(BARTP) 222                         does not trade
(BARTP) 469                         does not trade
(BARTP) 655                         does not trade
(BARTP) 656                         does not trade
(BOGUSZO) 501                       does not trade
(BOGUSZO) 503                       does not trade
(BOGUSZO) 507                       does not trade
(BOGUSZO) 509                       does not trade
(CACTUSSE) 952                      does not trade
(CACTUSSE) 953                      does not trade
(CACTUSSE) 954                      does not trade
(CACTUSSE) 955          receives (PIODAG) 722            and sends to (FURAN) 658
(CACTUSSE) 956                      does not trade
(CAMEROON) 794          receives (KDSZ) 135              and sends to (YUZJANNOWITZ) 252
(CAMEROON) 795                      does not trade
(CAMEROON) 796                      does not trade
(CAMEROON) 797                      does not trade
(CAMEROON) 799          receives (CINEK) 980             and sends to (ARHTU) 965
(CAMEROON) 809                      does not trade
(CAMEROON) 813                      does not trade
(CHAABER) 564           receives (MALKOLMX) 381          and sends to (PITONOWIE) 824
(CHAABER) 565                       does not trade
(CHAABER) 566                       does not trade
(CHAOS1981OL) 166       receives (ZERO_1627) 204         and sends to (ZBAJSZEK) 626
(CHAOS1981OL) 167       receives (JONEK) 390             and sends to (FIZOLOF) 497
(CHAOS1981OL) 168                   does not trade
(CHAOS1981OL) 169       receives (BARTP) 200             and sends to (JA_MAJKA) 531
(CHAOS1981OL) 268                   does not trade
(CHAOS1981OL) 272                   does not trade
(CHAOS1981OL) 273                   does not trade
(CHAOS1981OL) 274                   does not trade
(CHAOS1981OL) 275                   does not trade
(CINEK) 977                         does not trade
(CINEK) 980             receives (GRUCHA) 835            and sends to (CAMEROON) 799
(CINEK) 981             receives (FATHORNET) 767         and sends to (PIECHU) 443
(CINEK) 983             receives (RUSS) 702              and sends to (KDSZ) 136
(CORABB) 875                        does not trade
(CORABB) 880                        does not trade
(CORQAN) 161            receives (DETRYTUS) 685          and sends to (WILCZELYKO) 180
(CORQAN) 162            receives (MALEKITH_86) 234       and sends to (MALKOLMX) 384
(CORQAN) 164                        does not trade
(CORQAN) 165                        does not trade
(CORRAN) 419                        does not trade
(CORRAN) 420                        does not trade
(CORRAN) 421                        does not trade
(CORRAN) 422            receives (KONRADSTPN) 643        and sends to (MALKOLMX) 381
(CORRAN) 423                        does not trade
(CORRAN) 424                        does not trade
(CORRAN) 425                        does not trade
(CORRAN) 457                        does not trade
(CORRAN) 458                        does not trade
(CORRAN) 459                        does not trade
(CRSUNIK) 1032                      does not trade
(CRSUNIK) 958           receives (PERO PAMBARASCO) 343   and sends to (DRKLINGMANN) 746
(CRSUNIK) 959                       does not trade
(CRSUNIK) 960                       does not trade
(CRSUNIK) 961                       does not trade
(CRSUNIK) 962                       does not trade
(CRSUNIK) 964                       does not trade
(CRSUNIK) 966           receives (RAZUL) 502             and sends to (RAZUL) 492
(CRSUNIK) 967                       does not trade
(CRSUNIK) 969                       does not trade
(CRSUNIK) 970                       does not trade
(CRSUNIK) 978                       does not trade
(CRSUNIK) 979                       does not trade
(CRSUNIK) 982                       does not trade
(CRSUNIK) 985                       does not trade
(CRSUNIK) 986                       does not trade
(CRSUNIK) 989                       does not trade
(CRSUNIK) 992                       does not trade
(CRSUNIK) 993                       does not trade
(CZIKENPREDATOR) 177                does not trade
(CZIKENPREDATOR) 179                does not trade
(CZUJNYOBSERWATOR) 609  receives (DERTAZ) 55             and sends to (WILCZELYKO) 214
(CZUJNYOBSERWATOR) 610              does not trade
(DERTAZ) 10                         does not trade
(DERTAZ) 12                         does not trade
(DERTAZ) 13                         does not trade
(DERTAZ) 14                         does not trade
(DERTAZ) 15                         does not trade
(DERTAZ) 16                         does not trade
(DERTAZ) 17                         does not trade
(DERTAZ) 18                         does not trade
(DERTAZ) 19                         does not trade
(DERTAZ) 2                          does not trade
(DERTAZ) 20                         does not trade
(DERTAZ) 21                         does not trade
(DERTAZ) 22                         does not trade
(DERTAZ) 23                         does not trade
(DERTAZ) 24                         does not trade
(DERTAZ) 25                         does not trade
(DERTAZ) 27                         does not trade
(DERTAZ) 28                         does not trade
(DERTAZ) 29                         does not trade
(DERTAZ) 3                          does not trade
(DERTAZ) 30                         does not trade
(DERTAZ) 31                         does not trade
(DERTAZ) 32                         does not trade
(DERTAZ) 33                         does not trade
(DERTAZ) 34                         does not trade
(DERTAZ) 35                         does not trade
(DERTAZ) 36                         does not trade
(DERTAZ) 37                         does not trade
(DERTAZ) 38                         does not trade
(DERTAZ) 39                         does not trade
(DERTAZ) 4                          does not trade
(DERTAZ) 40                         does not trade
(DERTAZ) 42                         does not trade
(DERTAZ) 43                         does not trade
(DERTAZ) 44                         does not trade
(DERTAZ) 45                         does not trade
(DERTAZ) 46                         does not trade
(DERTAZ) 47                         does not trade
(DERTAZ) 48                         does not trade
(DERTAZ) 49                         does not trade
(DERTAZ) 5                          does not trade
(DERTAZ) 50             receives (KACZUCH2142) 580       and sends to (PAWELACB) 668
(DERTAZ) 51                         does not trade
(DERTAZ) 52                         does not trade
(DERTAZ) 53                         does not trade
(DERTAZ) 54                         does not trade
(DERTAZ) 55             receives (JA_MAJKA) 531          and sends to (CZUJNYOBSERWATOR) 609
(DERTAZ) 56                         does not trade
(DERTAZ) 57                         does not trade
(DERTAZ) 58                         does not trade
(DERTAZ) 59                         does not trade
(DERTAZ) 6                          does not trade
(DERTAZ) 60                         does not trade
(DERTAZ) 61                         does not trade
(DERTAZ) 62                         does not trade
(DERTAZ) 63                         does not trade
(DERTAZ) 64                         does not trade
(DERTAZ) 65                         does not trade
(DERTAZ) 66             receives (8RAMBO88) 146          and sends to (RB8689) 906
(DERTAZ) 67                         does not trade
(DERTAZ) 68                         does not trade
(DERTAZ) 69                         does not trade
(DERTAZ) 7              receives (KRIONAH) 652           and sends to (WAZKA) 680
(DERTAZ) 70                         does not trade
(DERTAZ) 71                         does not trade
(DERTAZ) 72                         does not trade
(DERTAZ) 73                         does not trade
(DERTAZ) 74                         does not trade
(DERTAZ) 75                         does not trade
(DERTAZ) 76                         does not trade
(DERTAZ) 77                         does not trade
(DERTAZ) 78                         does not trade
(DERTAZ) 79             receives (GARG) 869              and sends to (PIECHU) 450
(DERTAZ) 8                          does not trade
(DERTAZ) 81                         does not trade
(DERTAZ) 82                         does not trade
(DERTAZ) 83                         does not trade
(DERTAZ) 84                         does not trade
(DERTAZ) 85                         does not trade
(DERTAZ) 86                         does not trade
(DERTAZ) 87                         does not trade
(DERTAZ) 88                         does not trade
(DERTAZ) 89                         does not trade
(DERTAZ) 9                          does not trade
(DERTAZ) 90                         does not trade
(DERTAZ) 91                         does not trade
(DERTAZ) 92                         does not trade
(DERTAZ) 93                         does not trade
(DERTAZ) 94                         does not trade
(DERTAZ) 95                         does not trade
(DETRYTUS) 681                      does not trade
(DETRYTUS) 684                      does not trade
(DETRYTUS) 685          receives (FATHORNET) 754         and sends to (CORQAN) 161
(DETRYTUS) 691                      does not trade
(DRKLINGMANN) 740                   does not trade
(DRKLINGMANN) 741                   does not trade
