TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 8bf462def5777e1ced1f178a36b6c92c
ERRORS:
**** Item %ABOVE_AND_BELOW for user (KROLIS) is repeated in want list for 874.
**** Item %BEE_ALERT for user (JACEKBARBER) is repeated in want list for 643.
**** Item %CITY_OF_THE_BIG_SHOULDERS for user (CWIKS) is repeated in want list for 386.
**** Item %EVERDELL for user (ANOPTICHTYS) contains item 410 sender from the same user ((ANOPTICHTYS))
**** Item %EVERDELL for user (JINGOWAWA) is repeated in want list for 496.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1006.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1012.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 1013.
**** Item %LAST_AURORA for user (POKET) is repeated in want list for 987.
**** Item %LEGACY for user (ARHTU) is repeated in want list for 802.
**** Item %MINERALS for user (TAMARAPL) is repeated in want list for 396.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 985.
**** Item %ORLEAN for user (STRASZNY) is repeated in want list for 993.
**** Item %ORLÉANS for user (CWIKS) is repeated in want list for 389.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 270.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 282.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 363.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 554.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 568.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 764.
**** Item %PARKS for user (RUTRA1992) is repeated in want list for 955.
**** Item %SHIPYARD for user (GINET1) is repeated in want list for 19.
**** Item %TANG_GARDEN for user (CWIKS) is repeated in want list for 389.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 393.
**** Item %TAPESTRY for user (FORDY2) is repeated in want list for 394.
**** Item %TREASURE_ISLAND for user (CYBAS) is repeated in want list for 311.
**** Item 320 is repeated in want list for 62.
**** Item 320 is repeated in want list for 64.
**** Item 414 is repeated in want list for 432.
**** Unknown item %TRYES for user (STRASZNY) (2 occurrences)
**** Unknown item 1001 (39 occurrences)
**** Unknown item 1003 (2 occurrences)
**** Unknown item 1004 (3 occurrences)
**** Unknown item 1005 (6 occurrences)
**** Unknown item 1007 (2 occurrences)
**** Unknown item 1008 (4 occurrences)
**** Unknown item 1009 (4 occurrences)
**** Unknown item 1011 (38 occurrences)
**** Unknown item 1014 (9 occurrences)
**** Unknown item 1015 (4 occurrences)
**** Unknown item 1017 (5 occurrences)
**** Unknown item 1020 (5 occurrences)
**** Unknown item 1025 (16 occurrences)
**** Unknown item 1026 (2 occurrences)
**** Unknown item 1027 (33 occurrences)
**** Unknown item 1028 (17 occurrences)
**** Unknown item 1029 (6 occurrences)
**** Unknown item 139 (3 occurrences)
**** Unknown item 140 (2 occurrences)
**** Unknown item 259 (2 occurrences)
**** Unknown item 260 (4 occurrences)
**** Unknown item 261 (3 occurrences)
**** Unknown item 314 (21 occurrences)
**** Unknown item 315 (4 occurrences)
**** Unknown item 316 (2 occurrences)
**** Unknown item 317 (7 occurrences)
**** Unknown item 423 (10 occurrences)
**** Unknown item 439 (4 occurrences)
**** Unknown item 483 (12 occurrences)
**** Unknown item 484 (5 occurrences)
**** Unknown item 485 (32 occurrences)
**** Unknown item 486 (53 occurrences)
**** Unknown item 487 (27 occurrences)
**** Unknown item 488 (3 occurrences)
**** Unknown item 552 (2 occurrences)
**** Unknown item 5761119 (1 occurrence)
**** Unknown item 814 (2 occurrences)
**** Unknown item 815 (40 occurrences)
**** Unknown item 816 (4 occurrences)
**** Unknown item 817 (2 occurrences)
**** Unknown item 820 (12 occurrences)
**** Unknown item 880 (2 occurrences)
**** Unknown item 881 (2 occurrences)
**** Unknown item 882 (2 occurrences)
**** Unknown item 884 (11 occurrences)
**** Unknown item 885 (3 occurrences)
**** Unknown item 887 (4 occurrences)
**** Unknown item 890 (8 occurrences)
**** Unknown item 892 (9 occurrences)
**** Unknown item 903 (20 occurrences)
**** Unknown item 988 (3 occurrences)
**** Unknown item 989 (2 occurrences)
**** Unknown item 990 (2 occurrences)
**** Unknown item 991 (2 occurrences)
**** Unknown item 992 (2 occurrences)

TRADE LOOPS (274 total trades):

(_AIS_) 620           receives (FAKIRR) 733
(FAKIRR) 733          receives (DEEDO72) 856
(DEEDO72) 856         receives (PICIEK1990) 963
(PICIEK1990) 963      receives (ANDREZ_PL) 1104
(ANDREZ_PL) 1104      receives (ANDYMEN) 129
(ANDYMEN) 129         receives (ARAGORN4) 589
(ARAGORN4) 589        receives (PANTERA_SNIEZNA) 366
(PANTERA_SNIEZNA) 366 receives (DOCIA) 1033
(DOCIA) 1033          receives (PICIEK1990) 968
(PICIEK1990) 968      receives (STALKEROI) 794
(STALKEROI) 794       receives (KMET) 582
(KMET) 582            receives (AMACHNO) 383
(AMACHNO) 383         receives (CYBAS) 310
(CYBAS) 310           receives (VASVASVAS) 949
(VASVASVAS) 949       receives (SOPART PL) 721
(SOPART PL) 721       receives (FREYA2226) 604
(FREYA2226) 604       receives (RAIPL) 964
(RAIPL) 964           receives (ANDYMEN) 132
(ANDYMEN) 132         receives (PIOTR1) 751
(PIOTR1) 751          receives (KICUREK) 428
(KICUREK) 428         receives (SIPIO) 614
(SIPIO) 614           receives (CORABB) 1024
(CORABB) 1024         receives (ARDEL_PL) 392
(ARDEL_PL) 392        receives (CHAOS1981OL) 515
(CHAOS1981OL) 515     receives (STANCZES) 651
(STANCZES) 651        receives (BLEBOK) 398
(BLEBOK) 398          receives (PAWELACB) 809
(PAWELACB) 809        receives (PROBBI) 522
(PROBBI) 522          receives (PAWELACB) 810
(PAWELACB) 810        receives (ROGATUSIEK) 505
(ROGATUSIEK) 505      receives (8RAMBO88) 360
(8RAMBO88) 360        receives (KONRADSTPN) 457
(KONRADSTPN) 457      receives (DEEDO72) 849
(DEEDO72) 849         receives (SIPIO) 613
(SIPIO) 613           receives (DAWTA) 240
(DAWTA) 240           receives (PICIEK1990) 962
(PICIEK1990) 962      receives (STANCZES) 659
(STANCZES) 659        receives (ORZEH) 102
(ORZEH) 102           receives (ANDYMEN) 130
(ANDYMEN) 130         receives (MALKOLMX) 678
(MALKOLMX) 678        receives (_AIS_) 625
(_AIS_) 625           receives (RAFALOLEK) 246
(RAFALOLEK) 246       receives (NILDOPL) 200
(NILDOPL) 200         receives (TEHANU) 183
(TEHANU) 183          receives (CAMEROON) 897
(CAMEROON) 897        receives (REVELEMENT) 818
(REVELEMENT) 818      receives (ANOPTICHTYS) 43
(ANOPTICHTYS) 43      receives (PIECHU) 288
(PIECHU) 288          receives (MEFIKENU) 446
(MEFIKENU) 446        receives (WKNOTT) 355
(WKNOTT) 355          receives (GABENS29) 49
(GABENS29) 49         receives (TEHANU) 181
(TEHANU) 181          receives (JUSTRAG) 306
(JUSTRAG) 306         receives (OSTRY) 1089
(OSTRY) 1089          receives (JACEKBARBER) 643
(JACEKBARBER) 643     receives (MARKOWKA) 326
(MARKOWKA) 326        receives (FAKIRR) 734
(FAKIRR) 734          receives (ARHTU) 803
(ARHTU) 803           receives (PIECHU) 214
(PIECHU) 214          receives (WAMPIK) 790
(WAMPIK) 790          receives (PANTERA_SNIEZNA) 409
(PANTERA_SNIEZNA) 409 receives (ARAGORN4) 1010
(ARAGORN4) 1010       receives (SMAGDA) 63
(SMAGDA) 63           receives (MARKOO) 595
(MARKOO) 595          receives (BARTP) 82
(BARTP) 82            receives (BUCISLAW) 601
(BUCISLAW) 601        receives (MSZMM) 169
(MSZMM) 169           receives (MZAGORSKI) 966
(MZAGORSKI) 966       receives (APRIEL) 57
(APRIEL) 57           receives (DARKERSIDE) 494
(DARKERSIDE) 494      receives (SOPART PL) 708
(SOPART PL) 708       receives (GREGMAN42) 710
(GREGMAN42) 710       receives (DOCIA) 980
(DOCIA) 980           receives (GRZEG0RZ) 788
(GRZEG0RZ) 788        receives (ARHTU) 806
(ARHTU) 806           receives (POKET) 987
(POKET) 987           receives (CORQAN) 109
(CORQAN) 109          receives (PANTERA_SNIEZNA) 364
(PANTERA_SNIEZNA) 364 receives (IRONHAWK) 69
(IRONHAWK) 69         receives (WAZKA) 124
(WAZKA) 124           receives (ANOPTICHTYS) 402
(ANOPTICHTYS) 402     receives (BOBULE) 48
(BOBULE) 48           receives (KDSZ) 234
(KDSZ) 234            receives (JACEKBARBER) 970
(JACEKBARBER) 970     receives (LYSYPK) 507
(LYSYPK) 507          receives (RAPHAELL7) 12
(RAPHAELL7) 12        receives (MTNW) 73
(MTNW) 73             receives (STRASZNY) 983
(STRASZNY) 983        receives (MOOCKER) 142
(MOOCKER) 142         receives (MTIBOL) 93
(MTIBOL) 93           receives (BARTP) 90
(BARTP) 90            receives (CYBAS) 308
(CYBAS) 308           receives (ANDYMEN) 128
(ANDYMEN) 128         receives (VENOSTHE) 761
(VENOSTHE) 761        receives (CHAOS1981OL) 510
(CHAOS1981OL) 510     receives (WILCZELYKO) 134
(WILCZELYKO) 134      receives (PAWELACB) 807
(PAWELACB) 807        receives (MOOCKER) 34
(MOOCKER) 34          receives (BARTP) 87
(BARTP) 87            receives (MALEKITH_86) 666
(MALEKITH_86) 666     receives (JACEKBARBER) 641
(JACEKBARBER) 641     receives (KLOS_X) 1066
(KLOS_X) 1066         receives (SOPART PL) 735
(SOPART PL) 735       receives (GAMBIT_GGK) 905
(GAMBIT_GGK) 905      receives (PANCOR) 1120
(PANCOR) 1120         receives (WKNOTT) 357
(WKNOTT) 357          receives (MEFIUG) 332
(MEFIUG) 332          receives (RUTRA1992) 554
(RUTRA1992) 554       receives (FANTAZYN) 586
(FANTAZYN) 586        receives (CZIKENPREDATOR) 127
(CZIKENPREDATOR) 127  receives (ZBAJSZEK) 775
(ZBAJSZEK) 775        receives (JUSTRAG) 304
(JUSTRAG) 304         receives (STANCZES) 748
(STANCZES) 748        receives (KLOS_X) 1046
(KLOS_X) 1046         receives (OMAM1234) 694
(OMAM1234) 694        receives (KLOS_X) 1062
(KLOS_X) 1062         receives (PANCOR) 1105
(PANCOR) 1105         receives (RUTRA1992) 955
(RUTRA1992) 955       receives (MBIRD) 178
(MBIRD) 178           receives (MEFIUG) 334
(MEFIUG) 334          receives (PIECHU) 218
(PIECHU) 218          receives (ZIBIST) 717
(ZIBIST) 717          receives (MAJKOS) 447
(MAJKOS) 447          receives (ORZEH) 110
(ORZEH) 110           receives (ARGUE) 777
(ARGUE) 777           receives (AKWAMARYNOWY) 226
(AKWAMARYNOWY) 226    receives (APRIEL) 50
(APRIEL) 50           receives (CHAOS1981OL) 504
(CHAOS1981OL) 504     receives (MAT_EYO) 781
(MAT_EYO) 781         receives (STANCZES) 661
(STANCZES) 661        receives (GINET1) 32
(GINET1) 32           receives (SOPART PL) 722
(SOPART PL) 722       receives (PIECHU) 299
(PIECHU) 299          receives (ANOPTICHTYS) 40
(ANOPTICHTYS) 40      receives (MONOPOLYOWNS) 277
(MONOPOLYOWNS) 277    receives (LOMAX1983) 70
(LOMAX1983) 70        receives (SPRYSIALDO) 553
(SPRYSIALDO) 553      receives (TAMARAPL) 396
(TAMARAPL) 396        receives (KROLIS) 891
(KROLIS) 891          receives (MBIRD) 177
(MBIRD) 177           receives (MIZIO) 1129
(MIZIO) 1129          receives (KATERINAILS) 20
(KATERINAILS) 20      receives (WARHIR) 561
(WARHIR) 561          receives (R4VAL) 1127
(R4VAL) 1127          receives (JAJKOS) 673
(JAJKOS) 673          receives (JACEKBARBER) 981
(JACEKBARBER) 981     receives (ZIBIST) 711
(ZIBIST) 711          receives (SUL12) 379
(SUL12) 379           receives (COEN098) 274
(COEN098) 274         receives (KROLIS) 874
(KROLIS) 874          receives (THEONE) 888
(THEONE) 888          receives (MTIBOL) 95
(MTIBOL) 95           receives (FIZOLOF) 436
(FIZOLOF) 436         receives (NARO) 62
(NARO) 62             receives (_AIS_) 629
(_AIS_) 629           receives (SPRYSIALDO) 550
(SPRYSIALDO) 550      receives (SMAGDA) 199
(SMAGDA) 199          receives (MEFIUG) 331
(MEFIUG) 331          receives (PIOTR1) 343
(PIOTR1) 343          receives (RYSKA) 759
(RYSKA) 759           receives (WAMPIK) 789
(WAMPIK) 789          receives (SIREVAN) 107
(SIREVAN) 107         receives (COEN098) 275
(COEN098) 275         receives (MIZIO) 1130
(MIZIO) 1130          receives (ZBAJSZEK) 772
(ZBAJSZEK) 772        receives (MEFIUG) 329
(MEFIUG) 329          receives (SMAGDA) 113
(SMAGDA) 113          receives (PANCOR) 1117
(PANCOR) 1117         receives (ELBRUUS) 480
(ELBRUUS) 480         receives (_AIS_) 636
(_AIS_) 636           receives (OSTRY) 1074
(OSTRY) 1074          receives (DOCIA) 994
(DOCIA) 994           receives (DRAAKHAN) 415
(DRAAKHAN) 415        receives (TENCZ) 745
(TENCZ) 745           receives (OGMIOS1981) 545
(OGMIOS1981) 545      receives (FLIEGEN) 1133
(FLIEGEN) 1133        receives (RUTRA1992) 568
(RUTRA1992) 568       receives (SIPIO) 776
(SIPIO) 776           receives (TOMAX22) 740
(TOMAX22) 740         receives (BARTP) 80
(BARTP) 80            receives (WOOL_F) 976
(WOOL_F) 976          receives (NIKOSIS) 690
(NIKOSIS) 690         receives (KOLMOGOROV) 526
(KOLMOGOROV) 526      receives (APRIEL) 52
(APRIEL) 52           receives (PUASHEY90) 724
(PUASHEY90) 724       receives (MEFIUG) 330
(MEFIUG) 330          receives (DONATELLO23) 449
(DONATELLO23) 449     receives (MEFIUG) 327
(MEFIUG) 327          receives (GARG) 922
(GARG) 922            receives (MALEKITH_86) 662
(MALEKITH_86) 662     receives (PIOTREKBIER) 1125
(PIOTREKBIER) 1125    receives (GINET1) 638
(GINET1) 638          receives (WOOL_F) 1016
(WOOL_F) 1016         receives (BLEBOK) 405
(BLEBOK) 405          receives (RENEG8D) 533
(RENEG8D) 533         receives (SYDONIAA) 635
(SYDONIAA) 635        receives (JACEKBARBER) 975
(JACEKBARBER) 975     receives (EXDEATH44) 557
(EXDEATH44) 557       receives (WKNOTT) 353
(WKNOTT) 353          receives (WLSB) 951
