TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 7aa8f22336595d1fb959c9bb8af4d3c5
ERRORS:
**** Item %AEONS_END_2 for user (CZARNOPYS) is repeated in want list for 325.
**** Item %ARKHAM_HORROR_THE_CARD_GAME for user (ADUKO) contains item 906 sender from the same user ((ADUKO))
**** Item %CALICO for user (CZARNOPYS) is repeated in want list for 21.
**** Item %CALICO for user (CZARNOPYS) is repeated in want list for 325.
**** Item %NEOVILLE for user (SIPIO) is repeated in want list for 904.
**** Item %PORT_ROYAL for user (SIPIO) is repeated in want list for 904.
**** Item %PORT_ROYAL for user (SIPIO) is repeated in want list for 905.
**** Item %PORT_ROYAL for user (SIPIO) is repeated in want list for 911.
**** Item %PORT_ROYAL for user (SIPIO) is repeated in want list for 916.
**** Item %TAO_LONG__THE_WAY_OF_THE_DRAGON for user (ENSUISAN) is repeated in want list for 745.
**** Item 1076 is repeated in want list for 23.
**** Item 1309 is repeated in want list for 409.
**** Item 253 is repeated in want list for 101.
**** Item 253 is repeated in want list for 110.
**** Item 253 is repeated in want list for 112.
**** Item 253 is repeated in want list for 113.
**** Item 253 is repeated in want list for 92.
**** Item 253 is repeated in want list for 93.
**** Item 253 is repeated in want list for 94.
**** Item 253 is repeated in want list for 96.
**** Item 253 is repeated in want list for 97.
**** Item 253 is repeated in want list for 98.
**** Item 387 is repeated in want list for 398.
**** Item 41 is repeated in want list for 23.
**** Item 825 is repeated in want list for 112.
**** Item 877 is repeated in want list for %OSADNICY for user (MUPPETMASTER).
**** Unknown item %FABLED_FRUIT_TRADERS_OF_OSAKA for user (TENCZ) (1 occurrence)
**** Unknown item %GREAT_WESTERN_TRAIL_GREAT_WESTERN_TRAIL_RAILS_TO_THE_NORTH_GREAT_WESTERN_TRAIL_THE_ELEVENTH_BUILDING_TILE for user (TENCZ) (1 occurrence)
**** Unknown item %HERO_REALMS_STEAMROLLERS_KEYFORGE_CALL_OF_THE_ARCHONS for user (TENCZ) (1 occurrence)
**** Unknown item %IT_S_A_WONDERFUL_WORLD_IT_S_A_WONDERFUL_WORLD_WAR_OR_PEACE for user (TENCZ) (1 occurrence)
**** Unknown item %JAMAICA_WALKING_IN_BURANO for user (TENCZ) (1 occurrence)
**** Unknown item %MYSTIC_VALE_MYSTIC_VALE_VALE_OF_MAGIC_MYSTIC_VALE_MANA_STORM_MYSTIC_VALE_VALE_OF_THE_WILD for user (TENCZ) (1 occurrence)
**** Unknown item %PANDEMIC_TIDES_OF_TIME for user (TENCZ) (1 occurrence)
**** Unknown item %PULSAR_2849_PULSAR_2849_FOLDED_SPACE_INSERT for user (TENCZ) (1 occurrence)
**** Unknown item %TERRAFORMING_MARS_ARES_EXPEDITION for user (WACHOM81) (2 occurrences)
**** Unknown item %THE_ISLE_OF_CATS_THE_ISLE_OF_CATS_LATE_ARRIVALS for user (CIUPAKABRA997) (5 occurrences)
**** Unknown item 1048 (4 occurrences)
**** Unknown item 1049 (1 occurrence)
**** Unknown item 1055 (6 occurrences)
**** Unknown item 1065 (7 occurrences)
**** Unknown item 1066 (5 occurrences)
**** Unknown item 1067 (5 occurrences)
**** Unknown item 1150 (2 occurrences)
**** Unknown item 1151 (1 occurrence)
**** Unknown item 1158 (1 occurrence)
**** Unknown item 1162 (2 occurrences)
**** Unknown item 1165 (2 occurrences)
**** Unknown item 1168 (2 occurrences)
**** Unknown item 1169 (1 occurrence)
**** Unknown item 1170 (1 occurrence)
**** Unknown item 1173 (1 occurrence)
**** Unknown item 1178 (5 occurrences)
**** Unknown item 1180 (9 occurrences)
**** Unknown item 1181 (3 occurrences)
**** Unknown item 1182 (2 occurrences)
**** Unknown item 1188 (1 occurrence)
**** Unknown item 1189 (2 occurrences)
**** Unknown item 1194 (2 occurrences)
**** Unknown item 1197 (8 occurrences)
**** Unknown item 1199 (1 occurrence)
**** Unknown item 1201 (2 occurrences)
**** Unknown item 1238 (10 occurrences)
**** Unknown item 1239 (4 occurrences)
**** Unknown item 1240 (21 occurrences)
**** Unknown item 1241 (6 occurrences)
**** Unknown item 1242 (12 occurrences)
**** Unknown item 1243 (3 occurrences)
**** Unknown item 1244 (2 occurrences)
**** Unknown item 1245 (1 occurrence)
**** Unknown item 1246 (4 occurrences)
**** Unknown item 1247 (5 occurrences)
**** Unknown item 1250 (9 occurrences)
**** Unknown item 1251 (1 occurrence)
**** Unknown item 1252 (1 occurrence)
**** Unknown item 1253 (2 occurrences)
**** Unknown item 1254 (3 occurrences)
**** Unknown item 1255 (7 occurrences)
**** Unknown item 1256 (48 occurrences)
**** Unknown item 1264 (12 occurrences)
**** Unknown item 1265 (23 occurrences)
**** Unknown item 1266 (1 occurrence)
**** Unknown item 434 (12 occurrences)
**** Unknown item 435 (4 occurrences)
**** Unknown item 436 (2 occurrences)
**** Unknown item 446 (1 occurrence)
**** Unknown item 61 (6 occurrences)
**** Unknown item 695 (4 occurrences)
**** Unknown item 696 (9 occurrences)
**** Unknown item 712 (12 occurrences)
**** Unknown item 767 (2 occurrences)
**** Unknown item 768 (1 occurrence)
**** Unknown item 832 (1 occurrence)
**** Unknown item 835 (1 occurrence)
**** Unknown item 837 (20 occurrences)
**** Unknown item 838 (20 occurrences)
**** Unknown item 839 (8 occurrences)
**** Unknown item 840 (29 occurrences)
**** Unknown item 841 (5 occurrences)
**** Unknown item 842 (20 occurrences)
**** Unknown item 843 (8 occurrences)
**** Unknown item 844 (5 occurrences)
**** Unknown item 883 (13 occurrences)
**** Unknown item 889 (3 occurrences)
**** Unknown item 890 (1 occurrence)
**** Unknown item 893 (2 occurrences)
**** Unknown item 927 (5 occurrences)
**** Unknown item 934 (2 occurrences)
**** Unknown item 936 (1 occurrence)
**** Unknown item 937 (2 occurrences)
**** Unknown item 938 (1 occurrence)
**** Unknown item 944 (3 occurrences)
**** Unknown item 948 (1 occurrence)
**** Unknown item 951 (16 occurrences)
**** Unknown item 952 (2 occurrences)
**** Unknown item 956 (6 occurrences)
**** Unknown item 960 (2 occurrences)

TRADE LOOPS (311 total trades):

(ACUSATELIER) 532       receives (LUKEKAMINSKI) 535
(LUKEKAMINSKI) 535      receives (PANCOR) 1328
(PANCOR) 1328           receives (JACOBPL) 1311
(JACOBPL) 1311          receives (ACUSATELIER) 532

(ACUSATELIER) 880       receives (MUPPETMASTER) 750
(MUPPETMASTER) 750      receives (PIECHU) 344
(PIECHU) 344            receives (KICUREK) 200
(KICUREK) 200           receives (LHAPKA) 424
(LHAPKA) 424            receives (ARGUE) 328
(ARGUE) 328             receives (PIOTR1) 170
(PIOTR1) 170            receives (ENGINEER_MORDIMER) 318
(ENGINEER_MORDIMER) 318 receives (BARTP) 158
(BARTP) 158             receives (JACEKBARBER) 391
(JACEKBARBER) 391       receives (MZEPTER) 509
(MZEPTER) 509           receives (RAZUL) 673
(RAZUL) 673             receives (CIUPAKABRA997) 303
(CIUPAKABRA997) 303     receives (ANIASIEK) 1307
(ANIASIEK) 1307         receives (ANIAW89) 407
(ANIAW89) 407           receives (SYDONIAA) 4
(SYDONIAA) 4            receives (STASZEK) 419
(STASZEK) 419           receives (MARSINT) 922
(MARSINT) 922           receives (RAZUL) 809
(RAZUL) 809             receives (MSZMM) 624
(MSZMM) 624             receives (BLOOD_PET) 16
(BLOOD_PET) 16          receives (LISEK2000) 1225
(LISEK2000) 1225        receives (RAZUL) 663
(RAZUL) 663             receives (MUPPETMASTER) 755
(MUPPETMASTER) 755      receives (GOLEBIOWSKI) 151
(GOLEBIOWSKI) 151       receives (KROLIS) 760
(KROLIS) 760            receives (CZARNOPYS) 325
(CZARNOPYS) 325         receives (MEFIUG) 780
(MEFIUG) 780            receives (ADUKO) 888
(ADUKO) 888             receives (FREYA2226) 940
(FREYA2226) 940         receives (VENOSTHE) 498
(VENOSTHE) 498          receives (LHAPKA) 428
(LHAPKA) 428            receives (CIUPAKABRA997) 302
(CIUPAKABRA997) 302     receives (ERNIPOL) 98
(ERNIPOL) 98            receives (BARTP) 153
(BARTP) 153             receives (AGA_T) 232
(AGA_T) 232             receives (MUPPETMASTER) 753
(MUPPETMASTER) 753      receives (BUKIMI) 259
(BUKIMI) 259            receives (UNKNOWN0) 652
(UNKNOWN0) 652          receives (NUMERNABIS) 1179
(NUMERNABIS) 1179       receives (RALFMARK) 447
(RALFMARK) 447          receives (LISEK2000) 1218
(LISEK2000) 1218        receives (PIECHU) 655
(PIECHU) 655            receives (ANIASIEK) 1303
(ANIASIEK) 1303         receives (MALKOLMX) 1122
(MALKOLMX) 1122         receives (SWONICK) 305
(SWONICK) 305           receives (HRACHUBI) 111
(HRACHUBI) 111          receives (MUPPETMASTER) 754
(MUPPETMASTER) 754      receives (PIECHU) 353
(PIECHU) 353            receives (KOPEC) 649
(KOPEC) 649             receives (KEROVAN14) 562
(KEROVAN14) 562         receives (LASSE LINDSTROM) 791
(LASSE LINDSTROM) 791   receives (AMACHNO) 600
(AMACHNO) 600           receives (WAMPIK) 725
(WAMPIK) 725            receives (DOCIA) 1166
(DOCIA) 1166            receives (MACIO85) 590
(MACIO85) 590           receives (SUL12) 408
(SUL12) 408             receives (PROBBI) 1099
(PROBBI) 1099           receives (SHILIEN) 1039
(SHILIEN) 1039          receives (KAMINOINNOCENT) 46
(KAMINOINNOCENT) 46     receives (AMACHNO) 596
(AMACHNO) 596           receives (VOYDEN) 1103
(VOYDEN) 1103           receives (FRAMZ_PL) 702
(FRAMZ_PL) 702          receives (MACIO85) 588
(MACIO85) 588           receives (JAGASTR) 981
(JAGASTR) 981           receives (JACEKBARBER) 766
(JACEKBARBER) 766       receives (KONRADSTPN) 698
(KONRADSTPN) 698        receives (MDROZDZIOK9595) 494
(MDROZDZIOK9595) 494    receives (APRIEL) 576
(APRIEL) 576            receives (ARGUE) 327
(ARGUE) 327             receives (ARCRAYD) 553
(ARCRAYD) 553           receives (OBIQ) 1112
(OBIQ) 1112             receives (MISZCZU666) 148
(MISZCZU666) 148        receives (BREGORZ) 236
(BREGORZ) 236           receives (ARGUE) 329
(ARGUE) 329             receives (MINNENMIN) 825
(MINNENMIN) 825         receives (KATEBASKET) 127
(KATEBASKET) 127        receives (GINET1) 458
(GINET1) 458            receives (NUMERNABIS) 1172
(NUMERNABIS) 1172       receives (PANCOR) 1317
(PANCOR) 1317           receives (EYEDRAGON) 105
(EYEDRAGON) 105         receives (BREGORZ) 218
(BREGORZ) 218           receives (GRUNWALD) 691
(GRUNWALD) 691          receives (PIOTR1) 846
(PIOTR1) 846            receives (OBIQ) 1106
(OBIQ) 1106             receives (SIPIO) 915
(SIPIO) 915             receives (KOPEC) 650
(KOPEC) 650             receives (ALUCARD8282) 548
(ALUCARD8282) 548       receives (DARKERSIDE) 1118
(DARKERSIDE) 1118       receives (RAZUL) 808
(RAZUL) 808             receives (PATT23R) 356
(PATT23R) 356           receives (PIOTR1) 847
(PIOTR1) 847            receives (RALFMARK) 444
(RALFMARK) 444          receives (ARPAMI) 984
(ARPAMI) 984            receives (DGRODO) 1105
(DGRODO) 1105           receives (PANTERA_SNIEZNA) 1143
(PANTERA_SNIEZNA) 1143  receives (CORABB) 1268
(CORABB) 1268           receives (VENOSTHE) 39
(VENOSTHE) 39           receives (DOCIA) 1208
(DOCIA) 1208            receives (ANIASIEK) 1306
(ANIASIEK) 1306         receives (MSZMM) 643
(MSZMM) 643             receives (MATGIE) 469
(MATGIE) 469            receives (PIECHU) 657
(PIECHU) 657            receives (PROPI) 942
(PROPI) 942             receives (LOTHEG) 396
(LOTHEG) 396            receives (PIOTR_SZWAJDA) 875
(PIOTR_SZWAJDA) 875     receives (ANIAW89) 406
(ANIAW89) 406           receives (GRYZLI83) 454
(GRYZLI83) 454          receives (SARKIEL) 367
(SARKIEL) 367           receives (SWONICK) 264
(SWONICK) 264           receives (MALKOLMX) 1119
(MALKOLMX) 1119         receives (SWONICK) 686
(SWONICK) 686           receives (KATERINAILS) 115
(KATERINAILS) 115       receives (BLOOD_PET) 17
(BLOOD_PET) 17          receives (CORRAN) 579
(CORRAN) 579            receives (FRAMZ_PL) 704
(FRAMZ_PL) 704          receives (KATEBASKET) 120
(KATEBASKET) 120        receives (LISEK2000) 252
(LISEK2000) 252         receives (NARO) 540
