TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: d05d33f3f7daa07eae296520b6b21de
ERRORS:
**** Item %CAMEL_UP_OFF_SEASON for user (PATRYKGALKA) is repeated in want list for 23.
**** Item %CAMEL_UP_OFF_SEASON for user (PATRYKGALKA) is repeated in want list for 46.
**** Item %CAVERNA for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 1125.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 602.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 603.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 604.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 605.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 606.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 608.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 610.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 795.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 796.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 797.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 798.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 799.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 802.
**** Item %CAVERNA for user (PIECHU) is repeated in want list for 803.
**** Item %EL_GRANDE for user (PIVNITZ) is repeated in want list for 383.
**** Item %NIDAVELLIR for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 1125.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 602.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 603.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 604.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 605.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 606.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 608.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 610.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 795.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 796.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 797.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 798.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 799.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 802.
**** Item %NIDAVELLIR for user (PIECHU) is repeated in want list for 803.
**** Item %PUERTO_RICO for user (SANDIK) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 155.
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 157.
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 158.
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 159.
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 162.
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 164.
**** Item %PUERTO_RICO for user (SANDIK) is repeated in want list for 166.
**** Item %SEASONS for user (ROGATUSIEK) contains item 1597 sender from the same user ((ROGATUSIEK))
**** Item %SUBURBIA for user (TEDOKA) is repeated in want list for 251.
**** Item %WINGSPAN for user (PIECHU) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 1125.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 602.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 603.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 604.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 605.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 606.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 608.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 610.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 795.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 796.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 797.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 798.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 799.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 802.
**** Item %WINGSPAN for user (PIECHU) is repeated in want list for 803.
**** Item 127 is repeated in want list for 1017.
**** Item 1367 is repeated in want list for 646.
**** Item 152 is repeated in want list for 285.
**** Item 1570 is repeated in want list for 1022.
**** Item 1570 is repeated in want list for 1373.
**** Item 428 is repeated in want list for 1029.
**** Item 428 is repeated in want list for 1030.
**** Item 515 is repeated in want list for 285.
**** Unknown item %51ST_STATE_MASTER_SET_51ST_STATE_MASTER_SET_MOLOCH for user (RUTRA1992) (1 occurrence)
**** Unknown item %BARRAGE_BARRAGE_THE_LEEGHWATER_PROJECT for user (PANCOR) (59 occurrences)
**** Unknown item 1268 (36 occurrences)
**** Unknown item 1269 (42 occurrences)
**** Unknown item 1270 (2 occurrences)
**** Unknown item 1271 (4 occurrences)
**** Unknown item 1272 (8 occurrences)
**** Unknown item 1273 (2 occurrences)
**** Unknown item 1275 (3 occurrences)
**** Unknown item 1276 (41 occurrences)
**** Unknown item 1277 (39 occurrences)
**** Unknown item 1280 (4 occurrences)
**** Unknown item 1281 (46 occurrences)
**** Unknown item 1282 (46 occurrences)
**** Unknown item 1540 (7 occurrences)
**** Unknown item 1599 (1 occurrence)
**** Unknown item 1800 (1 occurrence)
**** Unknown item 228 (1 occurrence)
**** Unknown item 234 (2 occurrences)
**** Unknown item 971 (1 occurrence)

TRADE LOOPS (466 total trades):

(_SLY_) 243            receives (ZERO_1627) 778
(ZERO_1627) 778        receives (MZEPTER) 1137
(MZEPTER) 1137         receives (FLIEGEN) 1240
(FLIEGEN) 1240         receives (JAQJACEK) 944
(JAQJACEK) 944         receives (ISKRANAPROCHY) 328
(ISKRANAPROCHY) 328    receives (CYMBRO) 1038
(CYMBRO) 1038          receives (BLEBOK) 1294
(BLEBOK) 1294          receives (BARTP) 1621
(BARTP) 1621           receives (ADMI99) 65
(ADMI99) 65            receives (STASZEK) 1296
(STASZEK) 1296         receives (KRISSOS) 347
(KRISSOS) 347          receives (RAGI74) 973
(RAGI74) 973           receives (JNOWACZY) 1127
(JNOWACZY) 1127        receives (PATRYKGALKA) 37
(PATRYKGALKA) 37       receives (WOOL_F) 1568
(WOOL_F) 1568          receives (PIECHU) 795
(PIECHU) 795           receives (PANDORZECZA) 611
(PANDORZECZA) 611      receives (OMAM1234) 1128
(OMAM1234) 1128        receives (ALUCARD8282) 908
(ALUCARD8282) 908      receives (SYDONIAA) 11
(SYDONIAA) 11          receives (SARDO93) 631
(SARDO93) 631          receives (JAQJACEK) 915
(JAQJACEK) 915         receives (KRJ_KING) 1299
(KRJ_KING) 1299        receives (MSZMM) 897
(MSZMM) 897            receives (SYDONIAA) 905
(SYDONIAA) 905         receives (KIDI) 660
(KIDI) 660             receives (BARTP) 1623
(BARTP) 1623           receives (KRZYSZTOF007) 1352
(KRZYSZTOF007) 1352    receives (GRZECHOO104) 1468
(GRZECHOO104) 1468     receives (PANCOR) 867
(PANCOR) 867           receives (JAQJACEK) 948
(JAQJACEK) 948         receives (RAFAL513) 296
(RAFAL513) 296         receives (SMAGDA) 1628
(SMAGDA) 1628          receives (RAFMIX) 936
(RAFMIX) 936           receives (HAYPP) 966
(HAYPP) 966            receives (SZCZEPAN89) 126
(SZCZEPAN89) 126       receives (NIKTPLANSZOWY) 679
(NIKTPLANSZOWY) 679    receives (YOSEK) 117
(YOSEK) 117            receives (JNOWACZY) 1132
(JNOWACZY) 1132        receives (KAMINOINNOCENT) 278
(KAMINOINNOCENT) 278   receives (SHAKQ) 171
(SHAKQ) 171            receives (PIOTR1) 380
(PIOTR1) 380           receives (FRAMZ_PL) 674
(FRAMZ_PL) 674         receives (MIKOLAJL) 1226
(MIKOLAJL) 1226        receives (ZBAJSZEK) 1169
(ZBAJSZEK) 1169        receives (RAGI74) 982
(RAGI74) 982           receives (WINSTER) 353
(WINSTER) 353          receives (STASZEK) 1303
(STASZEK) 1303         receives (RUTRA1992) 1158
(RUTRA1992) 1158       receives (PUASHEY90) 1422
(PUASHEY90) 1422       receives (VENOSTHE) 1153
(VENOSTHE) 1153        receives (SZUKASZ) 84
(SZUKASZ) 84           receives (ANIAW89) 597
(ANIAW89) 597          receives (RALFMARK) 492
(RALFMARK) 492         receives (FLIEGEN) 1241
(FLIEGEN) 1241         receives (CHAABER) 1507
(CHAABER) 1507         receives (GRZECHOO104) 1458
(GRZECHOO104) 1458     receives (KOMIX) 810
(KOMIX) 810            receives (SARDO93) 633
(SARDO93) 633          receives (KIVU) 434
(KIVU) 434             receives (MALEKITH_86) 1412
(MALEKITH_86) 1412     receives (ZERO_1627) 807
(ZERO_1627) 807        receives (KRZYSIEKL) 1263
(KRZYSIEKL) 1263       receives (JAKUBWAKIEC) 1246
(JAKUBWAKIEC) 1246     receives (UKI24) 620
(UKI24) 620            receives (VENOSTHE) 1155
(VENOSTHE) 1155        receives (WACHOM81) 506
(WACHOM81) 506         receives (ALUCARD8282) 894
(ALUCARD8282) 894      receives (RALFMARK) 500
(RALFMARK) 500         receives (WOOL_F) 1569
(WOOL_F) 1569          receives (WUJEK2114) 1605
(WUJEK2114) 1605       receives (KLANCYG) 579
(KLANCYG) 579          receives (MORMAKILL) 419
(MORMAKILL) 419        receives (SARDO93) 626
(SARDO93) 626          receives (ADMI99) 1130
(ADMI99) 1130          receives (TAJKOON) 551
(TAJKOON) 551          receives (WINSTER) 357
(WINSTER) 357          receives (WOJCIECHS) 992
(WOJCIECHS) 992        receives (SHONSU) 1493
(SHONSU) 1493          receives (ARMIGER) 1242
(ARMIGER) 1242         receives (MIZIO) 161
(MIZIO) 161            receives (LISEK2000) 1201
(LISEK2000) 1201       receives (PIECHU) 606
(PIECHU) 606           receives (GRYZLI83) 368
(GRYZLI83) 368         receives (HRACHUBI) 1067
(HRACHUBI) 1067        receives (CIUPAKABRA997) 167
(CIUPAKABRA997) 167    receives (BREGORZ) 429
(BREGORZ) 429          receives (AKWAMARYNOWY) 7
(AKWAMARYNOWY) 7       receives (KEROVAN14) 1374
(KEROVAN14) 1374       receives (SANDIK) 159
(SANDIK) 159           receives (GRZZZ) 1631
(GRZZZ) 1631           receives (CORTUMPL) 1217
(CORTUMPL) 1217        receives (JAKUBWAKIEC) 1122
(JAKUBWAKIEC) 1122     receives (JACEKBARBER) 1512
(JACEKBARBER) 1512     receives (ALUCARD8282) 895
(ALUCARD8282) 895      receives (RUDOWLOSA) 336
(RUDOWLOSA) 336        receives (KLANCYG) 586
(KLANCYG) 586          receives (MTNW) 1102
(MTNW) 1102            receives (PATT23R) 462
(PATT23R) 462          receives (WARENHARI) 519
(WARENHARI) 519        receives (ANIAW89) 723
(ANIAW89) 723          receives (PEPER777) 1211
(PEPER777) 1211        receives (JAREKW) 1431
(JAREKW) 1431          receives (ANIASIEK) 1555
(ANIASIEK) 1555        receives (BARTJ) 292
(BARTJ) 292            receives (BARDOK) 451
(BARDOK) 451           receives (PEPER777) 1440
(PEPER777) 1440        receives (GINET1) 30
(GINET1) 30            receives (STASZEK) 1318
(STASZEK) 1318         receives (PANCOR) 1056
(PANCOR) 1056          receives (PIOTRBORLIK) 177
(PIOTRBORLIK) 177      receives (RAGI74) 989
(RAGI74) 989           receives (KHOMANIAC) 317
(KHOMANIAC) 317        receives (LKOPER) 1030
(LKOPER) 1030          receives (BRILLOWSKI) 1250
(BRILLOWSKI) 1250      receives (KLANCYG) 587
(KLANCYG) 587          receives (MORMAKILL) 411
