TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: f6e88476f9631b17f39845b97282611e
ERRORS:
**** Item %AEON_S_END_THE_NEW_AGE for user (PATRYKGALKA) is repeated in want list for 139.
**** Item %AEON_S_END_THE_NEW_AGE for user (PATRYKGALKA) is repeated in want list for 1665.
**** Item %CHARTERSTONE for user (CIUPAKABRA997) is repeated in want list for 540.
**** Item %CHARTERSTONE_CHARTERSTONE_RECHARGE_PACK for user (CIUPAKABRA997) is repeated in want list for 540.
**** Item %GRAND_AUSTRIA_HOTEL for user (JACEKBARBER) is repeated in want list for 1124.
**** Item %LUNA_CAPITAL for user (JACEKBARBER) is repeated in want list for 1117.
**** Item %MERCHANTS_OF_THE_DARK_ROAD for user (JACEKBARBER) is repeated in want list for 1124.
**** Item %NIDAVELLIR for user (JACEKBARBER) is repeated in want list for 1117.
**** Item %SEASONS for user (ROGATUSIEK) contains item 783 sender from the same user ((ROGATUSIEK))
**** Item 1622 is repeated in want list for 362.
**** Item 302 is repeated in want list for 1376.
**** Item 302 is repeated in want list for 1378.
**** Item 358 is repeated in want list for 212.
**** Item 515 is repeated in want list for 199.
**** Item 55 is repeated in want list for 273.
**** Item 55 is repeated in want list for 274.
**** Unknown item %SUSHI_GO for user (NOT2NIGHT) (1 occurrence)
**** Unknown item %THE_LORD_OF_THE_RINGS_JOURNEYS_IN_MIDDLE_EARTH_SHADOWED_PATHS_EXPANSION for user (LUKI1235) (2 occurrences)
**** Unknown item 100 (4 occurrences)
**** Unknown item 104 (21 occurrences)
**** Unknown item 112 (3 occurrences)
**** Unknown item 114 (2 occurrences)
**** Unknown item 115 (6 occurrences)
**** Unknown item 1624 (30 occurrences)
**** Unknown item 1625 (31 occurrences)
**** Unknown item 1634 (33 occurrences)
**** Unknown item 1644 (8 occurrences)
**** Unknown item 1645 (1 occurrence)
**** Unknown item 1646 (4 occurrences)
**** Unknown item 1647 (31 occurrences)
**** Unknown item 1648 (1 occurrence)
**** Unknown item 1649 (3 occurrences)
**** Unknown item 1651 (12 occurrences)
**** Unknown item 175 (4 occurrences)
**** Unknown item 178 (10 occurrences)
**** Unknown item 198 (2 occurrences)
**** Unknown item 202 (44 occurrences)
**** Unknown item 206 (1 occurrence)
**** Unknown item 210 (1 occurrence)
**** Unknown item 2227 (1 occurrence)
**** Unknown item 261306 (1 occurrence)
**** Unknown item 371 (22 occurrences)
**** Unknown item 373 (29 occurrences)
**** Unknown item 374 (2 occurrences)
**** Unknown item 376 (1 occurrence)
**** Unknown item 377 (3 occurrences)
**** Unknown item 568 (11 occurrences)
**** Unknown item 613 (90 occurrences)
**** Unknown item 735 (5 occurrences)
**** Unknown item 76 (8 occurrences)
**** Unknown item 77 (7 occurrences)
**** Unknown item 78 (2 occurrences)
**** Unknown item 79 (3 occurrences)
**** Unknown item 80 (3 occurrences)
**** Unknown item 81 (3 occurrences)
**** Unknown item 82 (3 occurrences)
**** Unknown item 83 (3 occurrences)
**** Unknown item 84 (5 occurrences)
**** Unknown item 89 (17 occurrences)
**** Unknown item 90 (9 occurrences)
**** Unknown item 91 (2 occurrences)
**** Unknown item 92 (6 occurrences)
**** Unknown item 93 (4 occurrences)
**** Unknown item 95 (1 occurrence)
**** Unknown item 96 (20 occurrences)
**** Unknown item 97 (66 occurrences)
**** Unknown item 98 (16 occurrences)

TRADE LOOPS (323 total trades):

(_BARD_) 1535          receives (FLAMASTER444) 386
(FLAMASTER444) 386     receives (SKOTI) 749
(SKOTI) 749            receives (MZEPTER) 556
(MZEPTER) 556          receives (BAAKA) 653
(BAAKA) 653            receives (STILICHON) 196
(STILICHON) 196        receives (ANOPTICHTYS) 1072
(ANOPTICHTYS) 1072     receives (WINSTER) 358
(WINSTER) 358          receives (HUBERTPL) 493
(HUBERTPL) 493         receives (MAAATI) 1612
(MAAATI) 1612          receives (DGRODO) 1084
(DGRODO) 1084          receives (KLOS_X) 1285
(KLOS_X) 1285          receives (ANOPTICHTYS) 1041
(ANOPTICHTYS) 1041     receives (GINET1) 67
(GINET1) 67            receives (PATRYKGALKA) 155
(PATRYKGALKA) 155      receives (JOANNAALICJA) 660
(JOANNAALICJA) 660     receives (SKOTI) 750
(SKOTI) 750            receives (SKUTERUS67) 317
(SKUTERUS67) 317       receives (MAMCZAR63) 995
(MAMCZAR63) 995        receives (PIVNITZ) 518
(PIVNITZ) 518          receives (JACEKBARBER) 1117
(JACEKBARBER) 1117     receives (KERUKR) 1444
(KERUKR) 1444          receives (ANIAW89) 319
(ANIAW89) 319          receives (PATRYKGALKA) 176
(PATRYKGALKA) 176      receives (BAAKA) 654
(BAAKA) 654            receives (BLEBOK) 913
(BLEBOK) 913           receives (RALFMARK) 1314
(RALFMARK) 1314        receives (JAKUBWAKIEC) 657
(JAKUBWAKIEC) 657      receives (MIZIO) 1435
(MIZIO) 1435           receives (DGRODO) 1080
(DGRODO) 1080          receives (LISEK2000) 1163
(LISEK2000) 1163       receives (FLAMASTER444) 394
(FLAMASTER444) 394     receives (SKUTERUS67) 311
(SKUTERUS67) 311       receives (PATRYKGALKA) 211
(PATRYKGALKA) 211      receives (MEFIUG) 876
(MEFIUG) 876           receives (KMET) 531
(KMET) 531             receives (LISEK2000) 1162
(LISEK2000) 1162       receives (ITSTHISGUYAGAIN) 528
(ITSTHISGUYAGAIN) 528  receives (KRASNY853) 1598
(KRASNY853) 1598       receives (BLEBOK) 936
(BLEBOK) 936           receives (FIZOLOF) 516
(FIZOLOF) 516          receives (_SLY_) 594
(_SLY_) 594            receives (SYDONIAA) 26
(SYDONIAA) 26          receives (PATT23R) 1216
(PATT23R) 1216         receives (ANIAW89) 324
(ANIAW89) 324          receives (PANCOR) 1669
(PANCOR) 1669          receives (ADDEKK1) 1521
(ADDEKK1) 1521         receives (LEINADUS) 656
(LEINADUS) 656         receives (CYMBRO) 1377
(CYMBRO) 1377          receives (VENOSTHE) 382
(VENOSTHE) 382         receives (ADDEKK1) 1525
(ADDEKK1) 1525         receives (BARTP) 1413
(BARTP) 1413           receives (PANCOR) 1667
(PANCOR) 1667          receives (MAAKUMAAKU) 1329
(MAAKUMAAKU) 1329      receives (PATRYKGALKA) 184
(PATRYKGALKA) 184      receives (CYMBRO) 1376
(CYMBRO) 1376          receives (FINNAN) 231
(FINNAN) 231           receives (JANUSZ_WYKIDAJLO) 998
(JANUSZ_WYKIDAJLO) 998 receives (RBSN) 946
(RBSN) 946             receives (HUBERTPL) 517
(HUBERTPL) 517         receives (PANODDJOB00) 587
(PANODDJOB00) 587      receives (PROBBI) 110
(PROBBI) 110           receives (UNKNOWN0) 295
(UNKNOWN0) 295         receives (ANOPTICHTYS) 1071
(ANOPTICHTYS) 1071     receives (FRAMZ_PL) 1253
(FRAMZ_PL) 1253        receives (JACEKBARBER) 1125
(JACEKBARBER) 1125     receives (MEFIUG) 862
(MEFIUG) 862           receives (LEINADUS) 443
