TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 6575579fb1848a58172e4e399946712e
ERRORS:
**** Item %BONFIRE for user (ISKRANAPROCHY) is repeated in want list for 2619.
**** Item %DARWIN for user (JAGASTR) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2275.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2277.
**** Item %DARWIN for user (JAGASTR) is repeated in want list for 2285.
**** Item %DWERGAR for user (KUSIEN) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %FORGOTTEN_WATERS for user (MARTIXX) is repeated in want list for 1513.
**** Item %FROSTPUNK_ALL_IN for user (POLO15) is repeated in want list for 739.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1557.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1559.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1561.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1564.
**** Item %SMALL_WORLD for user (ROPSONIK) is repeated in want list for 1566.
**** Item 1483 is repeated in want list for 2094.
**** Item 1851 is repeated in want list for 820.
**** Item 1851 is repeated in want list for 869.
**** Item 1851 is repeated in want list for 870.
**** Item 1851 is repeated in want list for 871.
**** Item 1851 is repeated in want list for 872.
**** Item 1851 is repeated in want list for 875.
**** Item 1851 is repeated in want list for 879.
**** Item 1851 is repeated in want list for 987.
**** Item 1852 is repeated in want list for 869.
**** Item 1852 is repeated in want list for 870.
**** Item 1852 is repeated in want list for 871.
**** Item 1852 is repeated in want list for 872.
**** Item 1852 is repeated in want list for 875.
**** Item 1852 is repeated in want list for 879.
**** Item 1852 is repeated in want list for 987.
**** Item 1883 is repeated in want list for 820.
**** Item 197 is repeated in want list for 1236.
**** Item 1973 is repeated in want list for 1527.
**** Item 228 is repeated in want list for 869.
**** Item 228 is repeated in want list for 870.
**** Item 228 is repeated in want list for 871.
**** Item 228 is repeated in want list for 872.
**** Item 228 is repeated in want list for 875.
**** Item 228 is repeated in want list for 879.
**** Item 228 is repeated in want list for 987.
**** Item 2291 is repeated in want list for 2108.
**** Item 2496 is repeated in want list for 1236.
**** Item 326 is repeated in want list for 2094.
**** Item 351 is repeated in want list for 1236.
**** Item 432 is repeated in want list for 2215.
**** Item 855 is repeated in want list for 2094.
**** Item 878 is repeated in want list for %ROLL_PLAYER for user (JAGGA68).
**** Unknown item %1700438958179 for user (DGRODO) (2 occurrences)
**** Unknown item %BONFIRE_BONFIRE_TREES_CREATURES for user (GABENS29) (1 occurrence)
**** Unknown item %PANDEMIC_FALL_OF_ROME for user (KURUNIR) (1 occurrence)
**** Unknown item %THE_KING_IS_DEAD_SECOND_EDITION_THE_KING_IS_DEAD_BETRAY_PROMO_CARD for user (LEINADUS) (2 occurrences)
**** Unknown item 042 (1 occurrence)
**** Unknown item 1459 (16 occurrences)
**** Unknown item 1462 (4 occurrences)
**** Unknown item 1464 (1 occurrence)
**** Unknown item 1466 (4 occurrences)
**** Unknown item 1468 (50 occurrences)
**** Unknown item 1757 (11 occurrences)
**** Unknown item 1762 (13 occurrences)
**** Unknown item 1764 (4 occurrences)
**** Unknown item 1766 (8 occurrences)
**** Unknown item 1768 (11 occurrences)
**** Unknown item 2164 (8 occurrences)
**** Unknown item 2167 (6 occurrences)
**** Unknown item 2169 (2 occurrences)
**** Unknown item 2170 (30 occurrences)
**** Unknown item 2172 (29 occurrences)
**** Unknown item 2173 (31 occurrences)
**** Unknown item 2175 (44 occurrences)
**** Unknown item 2179 (48 occurrences)
**** Unknown item 2180 (29 occurrences)
**** Unknown item 2181 (5 occurrences)
**** Unknown item 2182 (7 occurrences)
**** Unknown item 2222 (73 occurrences)
**** Unknown item 2224 (31 occurrences)
**** Unknown item 2225 (39 occurrences)
**** Unknown item 2228 (61 occurrences)
**** Unknown item 2230 (6 occurrences)
**** Unknown item 2249 (45 occurrences)
**** Unknown item 2253 (18 occurrences)
**** Unknown item 2490 (39 occurrences)
**** Unknown item 2492 (1 occurrence)
**** Unknown item 2577 (1 occurrence)
**** Unknown item 2578 (60 occurrences)
**** Unknown item 2580 (16 occurrences)
**** Unknown item 2583 (25 occurrences)
**** Unknown item 2585 (29 occurrences)
**** Unknown item 2588 (2 occurrences)
**** Unknown item 2589 (2 occurrences)
**** Unknown item 2594 (31 occurrences)
**** Unknown item 2595 (14 occurrences)
**** Unknown item 2596 (38 occurrences)
**** Unknown item 308 (70 occurrences)
**** Unknown item 309 (6 occurrences)
**** Unknown item 310 (63 occurrences)
**** Unknown item 311 (5 occurrences)
**** Unknown item 312 (107 occurrences)
**** Unknown item 394 (33 occurrences)
**** Unknown item 559 (4 occurrences)

TRADE LOOPS (715 total trades):

(_SLY_) 451            receives (ANOPTICHTYS) 1614
(ANOPTICHTYS) 1614     receives (PUSHEENEIRO) 823
(PUSHEENEIRO) 823      receives (GRUNWALD) 488
(GRUNWALD) 488         receives (FPS_PYZ) 1731
(FPS_PYZ) 1731         receives (SWONICK) 1844
(SWONICK) 1844         receives (APIEJH) 1647
(APIEJH) 1647          receives (JACEKBARBER) 1342
(JACEKBARBER) 1342     receives (ZAWATERNIOK) 315
(ZAWATERNIOK) 315      receives (MIDNIGHTJACK) 2486
(MIDNIGHTJACK) 2486    receives (VDER) 2102
(VDER) 2102            receives (HELBENTFORLEDER) 618
(HELBENTFORLEDER) 618  receives (LEINADUS) 706
(LEINADUS) 706         receives (FPS_PYZ) 1719
(FPS_PYZ) 1719         receives (MAYASTY) 874
(MAYASTY) 874          receives (NUMERNABIS) 1921
(NUMERNABIS) 1921      receives (KASZKIET) 1499
(KASZKIET) 1499        receives (ALUCARD8282) 991
(ALUCARD8282) 991      receives (PROBBI) 1872
(PROBBI) 1872          receives (PANODDJOB00) 1809
(PANODDJOB00) 1809     receives (RYSKAL) 1145
(RYSKAL) 1145          receives (PIOTR1) 1030
(PIOTR1) 1030          receives (JAKUBWAKIEC) 677
(JAKUBWAKIEC) 677      receives (GRUNWALD) 491
(GRUNWALD) 491         receives (JIMTERR) 2108
(JIMTERR) 2108         receives (PANCOR) 2283
(PANCOR) 2283          receives (DENINIS) 492
(DENINIS) 492          receives (LISEK2000) 1574
(LISEK2000) 1574       receives (RYSKAL) 1147
(RYSKAL) 1147          receives (RYSKA) 1033
(RYSKA) 1033           receives (VDER) 2096
(VDER) 2096            receives (BAARTOSZZ) 2352
(BAARTOSZZ) 2352       receives (ROBAL) 1578
(ROBAL) 1578           receives (LEINADUS) 609
(LEINADUS) 609         receives (LISEK2000) 1570
(LISEK2000) 1570       receives (MZEPTER) 1491
(MZEPTER) 1491         receives (PANCOR) 2379
(PANCOR) 2379          receives (KARTMAN7) 589
(KARTMAN7) 589         receives (JACEKBARBER) 1038
(JACEKBARBER) 1038     receives (SIPIO) 1676
(SIPIO) 1676           receives (FPS_PYZ) 2033
(FPS_PYZ) 2033         receives (LEINADUS) 602
(LEINADUS) 602         receives (KOMIX) 1589
(KOMIX) 1589           receives (TRINGA) 624
(TRINGA) 624           receives (PANCOR) 2321
(PANCOR) 2321          receives (KOMIX) 1600
(KOMIX) 1600           receives (POLO15) 743
(POLO15) 743           receives (KORPOREJSZYN) 1119
(KORPOREJSZYN) 1119    receives (GARG) 1370
(GARG) 1370            receives (PANCOR) 2440
(PANCOR) 2440          receives (BRASAS) 1992
(BRASAS) 1992          receives (KLANCYG) 1922
(KLANCYG) 1922         receives (BARTP) 923
(BARTP) 923            receives (RYSKA) 1034
(RYSKA) 1034           receives (PATRYKGALKA) 117
(PATRYKGALKA) 117      receives (MIZIO) 1639
(MIZIO) 1639           receives (HARUN) 1169
(HARUN) 1169           receives (ANDRZEYEK) 1818
(ANDRZEYEK) 1818       receives (KARTMAN7) 591
(KARTMAN7) 591         receives (PUSHEENEIRO) 2497
(PUSHEENEIRO) 2497     receives (GARG) 1381
(GARG) 1381            receives (RYSKAL) 1160
(RYSKAL) 1160          receives (ADMI99) 219
(ADMI99) 219           receives (JAGGA68) 1838
(JAGGA68) 1838         receives (SCRABER) 1013
(SCRABER) 1013         receives (KRYSTEK) 713
(KRYSTEK) 713          receives (PANCOR) 2458
(PANCOR) 2458          receives (PONIEWAZ) 2443
(PONIEWAZ) 2443        receives (MARKOO) 2587
(MARKOO) 2587          receives (JACEKBARBER) 1352
(JACEKBARBER) 1352     receives (SWIROFF) 886
(SWIROFF) 886          receives (ALUCARD8282) 992
(ALUCARD8282) 992      receives (SYDONIAA) 63
(SYDONIAA) 63          receives (NUMERNABIS) 1924
(NUMERNABIS) 1924      receives (GABENS29) 203
(GABENS29) 203         receives (DENINIS) 506
(DENINIS) 506          receives (JEDREK) 346
(JEDREK) 346           receives (MDROZDZIOK9595) 1179
(MDROZDZIOK9595) 1179  receives (BALD_MASTER) 462
(BALD_MASTER) 462      receives (BAARTOSZZ) 390
(BAARTOSZZ) 390        receives (MACCOWY) 1798
(MACCOWY) 1798         receives (FREYA2226) 2005
(FREYA2226) 2005       receives (RAFMIX) 770
(RAFMIX) 770           receives (COMFORT EAGLE) 861
(COMFORT EAGLE) 861    receives (ZAWATERNIOK) 292
(ZAWATERNIOK) 292      receives (PUSHEENEIRO) 804
(PUSHEENEIRO) 804      receives (SWONICK) 1769
(SWONICK) 1769         receives (STACHUSTACH187) 1136
(STACHUSTACH187) 1136  receives (KROMKA) 524
(KROMKA) 524           receives (JAGASTR) 2285
(JAGASTR) 2285         receives (CHARLIEVEGAN) 2640
(CHARLIEVEGAN) 2640    receives (KROMKA) 518
(KROMKA) 518           receives (JOANNAALICJA) 1289
(JOANNAALICJA) 1289    receives (KRYSTEK) 714
(KRYSTEK) 714          receives (BARTMAN71) 1716
(BARTMAN71) 1716       receives (PANODDJOB00) 1807
(PANODDJOB00) 1807     receives (REEVS) 2567
(REEVS) 2567           receives (JEDREK) 2316
(JEDREK) 2316          receives (KORPOREJSZYN) 1103
(KORPOREJSZYN) 1103    receives (DIBBLER) 560
(DIBBLER) 560          receives (JAGASTR) 2293
(JAGASTR) 2293         receives (PUSHEENEIRO) 835
(PUSHEENEIRO) 835      receives (_SLY_) 451

(_SLY_) 453            receives (JAGASTR) 2275
(JAGASTR) 2275         receives (GOLEBIOWSKI) 496
(GOLEBIOWSKI) 496      receives (KLOS_X) 2537
(KLOS_X) 2537          receives (LISEK2000) 1549
(LISEK2000) 1549       receives (MIZIO) 1457
(MIZIO) 1457           receives (MTNW) 1280
(MTNW) 1280            receives (LADZIK) 2218
(LADZIK) 2218          receives (JAKUBWAKIEC) 682
(JAKUBWAKIEC) 682      receives (MACCOWY) 1899
(MACCOWY) 1899         receives (RYSKAL) 1154
(RYSKAL) 1154          receives (PEPER777) 963
(PEPER777) 963         receives (UNKNOWN0) 459
(UNKNOWN0) 459         receives (MDROZDZIOK9595) 936
(MDROZDZIOK9595) 936   receives (PATRYKGALKA) 17
(PATRYKGALKA) 17       receives (ALUCARD8282) 995
(ALUCARD8282) 995      receives (JACEKBARBER) 1787
(JACEKBARBER) 1787     receives (BAARTOSZZ) 374
