TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: bab4356e5466a244745b60d1ff7f4adf
ERRORS:
**** Item %BRASS_BIRMINGHAM for user (MAAKUMAAKU) is repeated in want list for 342.
**** Item %BRASS_BIRMINGHAM for user (MAAKUMAAKU) is repeated in want list for 343.
**** Item %DARWIN for user (ADLER24) has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item %DARWIN for user (ADLER24) is repeated in want list for 2372.
**** Item %DARWIN for user (ADLER24) is repeated in want list for 2374.
**** Item %DARWIN for user (ADLER24) is repeated in want list for 2401.
**** Item %DARWIN for user (ADLER24) is repeated in want list for 2415.
**** Item %EXPEDITIONS for user (PATRYKGALKA) is repeated in want list for 18.
**** Item %EXPEDITIONS for user (PATRYKGALKA) is repeated in want list for 25.
**** Item %GLEN_MORE_II__CHRONICLES for user (GREKOL) is repeated in want list for 767.
**** Item %GLEN_MORE_II__CHRONICLES for user (GREKOL) is repeated in want list for 769.
**** Item %GLEN_MORE_II__CHRONICLES for user (GREKOL) is repeated in want list for 772.
**** Item %GLEN_MORE_II__CHRONICLES for user (GREKOL) is repeated in want list for 773.
**** Item %VILLAGE_BIG_BOX for user (MAAKUMAAKU) is repeated in want list for 345.
**** Item 1018 is repeated in want list for 1017.
**** Item 1155 has multiple want lists--ignoring all but first.  (Sometimes the result of an accidental line break in the middle of a want list.)
**** Item 1248 is repeated in want list for 1162.
**** Item 1544 is repeated in want list for 1060.
**** Item 1544 is repeated in want list for 1062.
**** Item 2147 is repeated in want list for 767.
**** Item 2147 is repeated in want list for 769.
**** Item 2147 is repeated in want list for 772.
**** Item 2147 is repeated in want list for 773.
**** Item 2212 is repeated in want list for 558.
**** Item 2251 is repeated in want list for 2060.
**** Item 2387 is repeated in want list for 766.
**** Item 2387 is repeated in want list for 767.
**** Item 2387 is repeated in want list for 768.
**** Item 2387 is repeated in want list for 769.
**** Item 2387 is repeated in want list for 772.
**** Item 2387 is repeated in want list for 773.
**** Item 31 is repeated in want list for 2010.
**** Item 31 is repeated in want list for 2013.
**** Item 31 is repeated in want list for 2085.
**** Item 464 is repeated in want list for 2451.
**** Item 562 appears in its own want list.
**** Item 826 is repeated in want list for 2104.
**** Item 826 is repeated in want list for 2108.
**** Item 859 is repeated in want list for 1583.
**** Item 864 is repeated in want list for 1583.
**** Item 868 is repeated in want list for 1583.
**** Item 871 is repeated in want list for 1583.
**** Unknown item %ARKHAM_HORROR_THE_CARD_GAME_ARKHAM_HORROR_THE_CARD_GAME_THE_DUNWICH_LEGACY_EXPANSION for user (JAREKW) (1 occurrence)
**** Unknown item %CRYPTID_ARBORETUM for user (JAREKW) (2 occurrences)
**** Unknown item %FROSTPUNK_THE_BOARD_GAME_FROSTPUNK_THE_BOARD_GAME_FROSTLANDER for user (JAREKW) (1 occurrence)
**** Unknown item %ORL_ANS_ORL_ANS_INVASION_ORL_ANS_TRADE_INTRIGUE_ORL_ANS_NEUE_ORTSKARTEN_N_1_ORL_ANS_NEUE_ORTSKARTEN_N_2_ORL_ANS_NEUE_ORTSKARTEN_N_3_ORL_ANS_NEUE_ORTSKARTEN_N_4_ORLEAN_ZAGRODA_ORL_ANS_GEEKUP_BIT_SET_ORL_ANS_COMPONENTS_FOR_A_5TH_PLAYER for user (JAREKW) (3 occurrences)
**** Unknown item %ORL_ANS_ORL_ANS_NEUE_ORTSKARTEN_N_1_ORL_ANS_NEUE_ORTSKARTEN_N_2_ORL_ANS_NEUE_ORTSKARTEN_N_3_ORL_ANS_NEUE_ORTSKARTEN_N_4 for user (JAREKW) (3 occurrences)
**** Unknown item 1088 (5 occurrences)
**** Unknown item 1090 (30 occurrences)
**** Unknown item 1093 (25 occurrences)
**** Unknown item 1095 (9 occurrences)
**** Unknown item 1097 (5 occurrences)
**** Unknown item 1101 (8 occurrences)
**** Unknown item 1106 (9 occurrences)
**** Unknown item 1108 (3 occurrences)
**** Unknown item 1110 (7 occurrences)
**** Unknown item 1115 (4 occurrences)
**** Unknown item 1116 (38 occurrences)
**** Unknown item 1120 (1 occurrence)
**** Unknown item 1123 (1 occurrence)
**** Unknown item 1126 (7 occurrences)
**** Unknown item 115 (10 occurrences)
**** Unknown item 1409 (13 occurrences)
**** Unknown item 1702 (3 occurrences)
**** Unknown item 1707 (2 occurrences)
**** Unknown item 1709 (7 occurrences)
**** Unknown item 1710 (6 occurrences)
**** Unknown item 1724 (2 occurrences)
**** Unknown item 1729 (38 occurrences)
**** Unknown item 181 (11 occurrences)
**** Unknown item 182 (7 occurrences)
**** Unknown item 184 (1 occurrence)
**** Unknown item 185 (1 occurrence)
**** Unknown item 186 (2 occurrences)
**** Unknown item 187 (1 occurrence)
**** Unknown item 190 (3 occurrences)
**** Unknown item 191 (2 occurrences)
**** Unknown item 192 (20 occurrences)
**** Unknown item 1974 (2 occurrences)
**** Unknown item 1975 (32 occurrences)
**** Unknown item 1976 (27 occurrences)
**** Unknown item 1977 (4 occurrences)
**** Unknown item 1978 (9 occurrences)
**** Unknown item 1979 (3 occurrences)
**** Unknown item 1981 (9 occurrences)
**** Unknown item 1982 (7 occurrences)
**** Unknown item 1984 (6 occurrences)
**** Unknown item 1985 (63 occurrences)
**** Unknown item 1986 (11 occurrences)
**** Unknown item 1992 (3 occurrences)
**** Unknown item 1994 (14 occurrences)
**** Unknown item 1998 (8 occurrences)
**** Unknown item 2002 (87 occurrences)
**** Unknown item 2049 (5 occurrences)
**** Unknown item 2050 (6 occurrences)
**** Unknown item 2052 (10 occurrences)
**** Unknown item 2053 (5 occurrences)
**** Unknown item 2056 (25 occurrences)
**** Unknown item 2062 (22 occurrences)
**** Unknown item 224 (14 occurrences)
**** Unknown item 230 (21 occurrences)
**** Unknown item 237 (1 occurrence)
**** Unknown item 413 (38 occurrences)
**** Unknown item 414 (9 occurrences)
**** Unknown item 416 (4 occurrences)
**** Unknown item 419 (3 occurrences)
**** Unknown item 421 (7 occurrences)
**** Unknown item 422 (6 occurrences)
**** Unknown item 423 (3 occurrences)
**** Unknown item 425 (2 occurrences)
**** Unknown item 426 (11 occurrences)
**** Unknown item 428 (1 occurrence)
**** Unknown item 429 (6 occurrences)
**** Unknown item 438 (3 occurrences)
**** Unknown item 439 (3 occurrences)
**** Unknown item 440 (6 occurrences)
**** Unknown item 442 (22 occurrences)
**** Unknown item 443 (1 occurrence)
**** Unknown item 444 (1 occurrence)
**** Unknown item 446 (1 occurrence)
**** Unknown item 447 (1 occurrence)
**** Unknown item 591 (52 occurrences)
**** Unknown item 876 (14 occurrences)
**** Unknown item 877 (6 occurrences)
**** Unknown item 878 (3 occurrences)
**** Unknown item 879 (43 occurrences)
**** Unknown item 880 (43 occurrences)
**** Unknown item 881 (30 occurrences)
**** Unknown item 882 (15 occurrences)
**** Unknown item 883 (89 occurrences)
**** Unknown item 884 (4 occurrences)
**** Unknown item 885 (11 occurrences)
**** Unknown item 886 (12 occurrences)
**** Unknown item 887 (7 occurrences)
**** Unknown item 888 (1 occurrence)
**** Unknown item 889 (1 occurrence)
**** Unknown item 892 (27 occurrences)

TRADE LOOPS (629 total trades):

(_SLY_) 355             receives (KARTMAN7) 290
(KARTMAN7) 290          receives (MAJKOS) 276
(MAJKOS) 276            receives (ISKRANAPROCHY) 780
(ISKRANAPROCHY) 780     receives (STASZEK) 1499
(STASZEK) 1499          receives (ADMI99) 157
(ADMI99) 157            receives (KICUREK) 1822
(KICUREK) 1822          receives (KUBAP) 2417
(KUBAP) 2417            receives (WOJCIECHS) 2364
(WOJCIECHS) 2364        receives (ATRAPANTHERA) 369
(ATRAPANTHERA) 369      receives (RUTRA1992) 681
(RUTRA1992) 681         receives (CIUPAKABRA997) 194
(CIUPAKABRA997) 194     receives (WOJCIECHS) 2358
(WOJCIECHS) 2358        receives (CHARLIEVEGAN) 2508
(CHARLIEVEGAN) 2508     receives (LUKMARCUS) 2218
(LUKMARCUS) 2218        receives (ANIOL1979) 2060
(ANIOL1979) 2060        receives (ANIASIEK) 2251
(ANIASIEK) 2251         receives (STONEROCK) 978
(STONEROCK) 978         receives (DOMBAS) 1506
(DOMBAS) 1506           receives (ARASHII) 516
(ARASHII) 516           receives (BARTP) 1380
(BARTP) 1380            receives (RURYK) 1835
(RURYK) 1835            receives (PIOTR1) 508
(PIOTR1) 508            receives (KALWIN64) 482
(KALWIN64) 482          receives (ANIAW89) 1393
(ANIAW89) 1393          receives (STILICHON) 525
(STILICHON) 525         receives (PUNIYA) 1320
(PUNIYA) 1320           receives (SMAGDA) 519
(SMAGDA) 519            receives (WILCZELYKO) 2074
(WILCZELYKO) 2074       receives (SIRIUS91) 459
(SIRIUS91) 459          receives (JAREKW) 2201
(JAREKW) 2201           receives (WOJTEK09876) 1598
(WOJTEK09876) 1598      receives (PUSHEENEIRO) 1670
(PUSHEENEIRO) 1670      receives (CASONPL) 1212
(CASONPL) 1212          receives (KRET_87) 559
(KRET_87) 559           receives (POLO15) 1694
(POLO15) 1694           receives (WARENHARI) 567
(WARENHARI) 567         receives (GRYZLI83) 754
(GRYZLI83) 754          receives (COOL_MAX) 1498
(COOL_MAX) 1498         receives (MISIENCJUSZ) 198
(MISIENCJUSZ) 198       receives (LUKI364) 2216
(LUKI364) 2216          receives (BIGBADSHEEP) 491
(BIGBADSHEEP) 491       receives (GARG) 1469
(GARG) 1469             receives (COEN098) 449
(COEN098) 449           receives (LISEK2000) 647
(LISEK2000) 647         receives (LAGETH) 865
(LAGETH) 865            receives (PRZEMEK920) 1688
(PRZEMEK920) 1688       receives (SWIROFF) 2089
(SWIROFF) 2089          receives (RAFMIX) 751
(RAFMIX) 751            receives (WOJCIECHS) 2361
(WOJCIECHS) 2361        receives (BIGBADSHEEP) 497
(BIGBADSHEEP) 497       receives (LAGETH) 867
(LAGETH) 867            receives (BADO666) 744
(BADO666) 744           receives (SVVITALEK) 1262
(SVVITALEK) 1262        receives (ANIASIEK) 2256
(ANIASIEK) 2256         receives (EXDEATH44) 299
(EXDEATH44) 299         receives (FIUFEK) 95
(FIUFEK) 95             receives (RODAN77) 1818
(RODAN77) 1818          receives (MARBEL) 1174
(MARBEL) 1174           receives (CZARNOPYS) 1325
(CZARNOPYS) 1325        receives (BRZECHA) 1183
(BRZECHA) 1183          receives (MADZIALENA7) 1781
(MADZIALENA7) 1781      receives (RAZUL) 2489
(RAZUL) 2489            receives (SYDONIAA) 1802
(SYDONIAA) 1802         receives (KONRADSTPN) 228
(KONRADSTPN) 228        receives (CHAOS1981OL) 2138
(CHAOS1981OL) 2138      receives (FIZOLOF) 1130
(FIZOLOF) 1130          receives (WINSTER) 1810
(WINSTER) 1810          receives (MARKOO) 197
(MARKOO) 197            receives (KEROVAN14) 1009
(KEROVAN14) 1009        receives (BLEBOK) 1422
(BLEBOK) 1422           receives (RAFMIX) 758
(RAFMIX) 758            receives (BIGBADSHEEP) 493
(BIGBADSHEEP) 493       receives (LISEK2000) 674
(LISEK2000) 674         receives (WUJEK2114) 2063
(WUJEK2114) 2063        receives (RAZUL) 966
(RAZUL) 966             receives (SYDONIAA) 8
(SYDONIAA) 8            receives (NIDHOG) 926
(NIDHOG) 926            receives (BAAKA) 2043
(BAAKA) 2043            receives (ADITOJA) 1081
(ADITOJA) 1081          receives (WARRTAIN) 1327
(WARRTAIN) 1327         receives (ADLER24) 2410
(ADLER24) 2410          receives (TEDOKA) 896
(TEDOKA) 896            receives (LONYY) 1995
(LONYY) 1995            receives (SMAGDA) 514
(SMAGDA) 514            receives (SYDONIAA) 1854
(SYDONIAA) 1854         receives (DZANOMARO) 687
(DZANOMARO) 687         receives (LONYY) 1991
(LONYY) 1991            receives (GARG) 1471
(GARG) 1471             receives (MORKRET) 2320
(MORKRET) 2320          receives (JACEKBARBER) 1157
(JACEKBARBER) 1157      receives (OMAM1234) 1415
(OMAM1234) 1415         receives (WOJCIECHS) 2329
(WOJCIECHS) 2329        receives (YOSEK) 944
(YOSEK) 944             receives (WOJCIECHS) 2357
(WOJCIECHS) 2357        receives (KLANCYG) 1403
(KLANCYG) 1403          receives (MISCIK) 436
(MISCIK) 436            receives (_SLY_) 991
(_SLY_) 991             receives (KDSZ) 1705
(KDSZ) 1705             receives (BRASAS) 1989
(BRASAS) 1989           receives (LYNX32) 2259
(LYNX32) 2259           receives (SVVITALEK) 796
(SVVITALEK) 796         receives (JAREKW) 2197
(JAREKW) 2197           receives (BRZECHA) 1184
(BRZECHA) 1184          receives (BRASAS) 1993
(BRASAS) 1993           receives (BARTP) 1068
(BARTP) 1068            receives (BAAKA) 2045
(BAAKA) 2045            receives (BIGBADSHEEP) 489
(BIGBADSHEEP) 489       receives (MAJZOWNIK) 1235
(MAJZOWNIK) 1235        receives (_SLY_) 359
(_SLY_) 359             receives (BAARTOSZZ) 13
(BAARTOSZZ) 13          receives (RENEGAT89) 2008
(RENEGAT89) 2008        receives (SHILIEN) 1936
(SHILIEN) 1936          receives (SARKIEL) 1828
(SARKIEL) 1828          receives (ADITOJA) 1071
(ADITOJA) 1071          receives (MALEKITH_86) 2174
(MALEKITH_86) 2174      receives (FRAMZ_PL) 783
(FRAMZ_PL) 783          receives (MARKOWKA) 988
(MARKOWKA) 988          receives (MAAKUMAAKU) 343
(MAAKUMAAKU) 343        receives (MAJZOWNIK) 1236
(MAJZOWNIK) 1236        receives (ANIAW89) 852
(ANIAW89) 852           receives (SIRIUS91) 460
(SIRIUS91) 460          receives (PAWLO_1089) 379
(PAWLO_1089) 379        receives (PHILM78) 2382
(PHILM78) 2382          receives (KEROVAN14) 1028
(KEROVAN14) 1028        receives (MS103) 1751
(MS103) 1751            receives (TRINGA) 149
(TRINGA) 149            receives (PAULMORNINGSTAR) 1803
(PAULMORNINGSTAR) 1803  receives (MAMCZAR63) 1559
(MAMCZAR63) 1559        receives (PUSHEENEIRO) 1957
(PUSHEENEIRO) 1957      receives (ANOPTICHTYS) 1910
(ANOPTICHTYS) 1910      receives (PATOLD) 807
(PATOLD) 807            receives (SHILIEN) 1932
(SHILIEN) 1932          receives (PATRYKGALKA) 30
(PATRYKGALKA) 30        receives (UKI24) 962
(UKI24) 962             receives (KUBAP) 732
(KUBAP) 732             receives (SARKIEL) 1929
(SARKIEL) 1929          receives (STASZEK) 1534
(STASZEK) 1534          receives (MAT_EYO) 1625
(MAT_EYO) 1625          receives (PIOTR1) 509
(PIOTR1) 509            receives (DARKERSIDE) 2186
