(Konradstpn) 156 :
(Konradstpn) 161 :
(Konradstpn) 163 :
(Konradstpn) 151 :
(Konradstpn) 144 :
(Konradstpn) 142 : 402 770
(Konradstpn) 137 : 402 770
(Konradstpn) 642 : 402 770
(Konradstpn) 177 : 402 770 198
(Konradstpn) 646 : 402 770 198
(Konradstpn) 149 : 402 770 198 687
(Konradstpn) 153 : 402 770 198 687
(Konradstpn) 643 : 402 770 198 687
(Konradstpn) 140 : 402 770 198 687
(Konradstpn) 645 : 402 770 198 687
(Konradstpn) 160 : 402 770 198 687 ; 1126 1687
(Konradstpn) 167 : 402 770 198 687 ; 1126 1687 895 283
(Konradstpn) 147 : 402 770 198 687 ; 1126 1687
(Konradstpn) 162 : 402 770 198 687 ; 1126 1687 895
(Konradstpn) 148 : 402 770 198 687 ; 1126 1687 895 283
(Konradstpn) 152 : 402 770 198 687 ; 1126 1687 895 283 1366 1556 909
(Konradstpn) 141 : 402 770 198 687 ; 1126 1687 895 283 1366 1556 909
(Konradstpn) 150 : 402 770 198 687 ; 1126 1687 895 283 1366 1556 909
(Konradstpn) 145 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 139 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 157 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 155 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 136 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 159 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 647 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 129 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 130 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607
(Konradstpn) 131 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 133 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 164 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607
(Konradstpn) 644 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731
(Konradstpn) 134 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534
(Konradstpn) 138 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534
(Konradstpn) 158 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534
(Konradstpn) 143 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534 1356
(Konradstpn) 135 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534 1356
(Konradstpn) 146 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534 1356
(Konradstpn) 165 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534 1356
(Konradstpn) 166 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607 1193 1534 1356
(Konradstpn) 154 : 402 770 430 198 687 ; 1126 1687 895 283 1366 1556 909 977 1731 696 1607
