TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 304726fc4aebfe6c9fe9fbeb5759a89
ERRORS:
**** Item %BARRAGE_DUEL for user (LOMAX1983) is repeated in want list for 96.
**** Item %BOT_FACTORY for user (MAGUN071) is repeated in want list for 1054.
**** Item %BOT_FACTORY for user (MAGUN071) is repeated in want list for 1055.
**** Item %BOT_FACTORY for user (MAGUN071) is repeated in want list for 1057.
**** Item %BOT_FACTORY for user (MAGUN071) is repeated in want list for 1058.
**** Item %DEAD_RECKONING for user (KMET) is repeated in want list for 965.
**** Item %EVENFALL for user (JINGOWAWA) is repeated in want list for 1102.
**** Item %EVENFALL for user (JINGOWAWA) is repeated in want list for 1914.
**** Item %FALL_OF_ROME for user (JINGOWAWA) is repeated in want list for 1102.
**** Item %FALL_OF_ROME for user (JINGOWAWA) is repeated in want list for 1914.
**** Item %GUTENBERG for user (JINGOWAWA) is repeated in want list for 1102.
**** Item %GUTENBERG for user (JINGOWAWA) is repeated in want list for 1914.
**** Item %HARD_CITY for user (JINGOWAWA) is repeated in want list for 1102.
**** Item %HARD_CITY for user (JINGOWAWA) is repeated in want list for 1914.
**** Item %LEGENDARY_ENCOUNTERS_AN_ALIEN_DECK_BUILDING_GAME for user (JAJKOS) contains item 202 sender from the same user ((JAJKOS))
**** Item %OVERBOSS for user (JINGOWAWA) is repeated in want list for 1102.
**** Item %OVERBOSS for user (JINGOWAWA) is repeated in want list for 1914.
**** Item %REVIVE for user (JINGOWAWA) is repeated in want list for 1102.
**** Item %REVIVE for user (JINGOWAWA) is repeated in want list for 1914.
**** Item %SETI for user (ISKRANAPROCHY) is repeated in want list for 379.
**** Item %WHITE for user (GRIMCLASH) is repeated in want list for 428.
**** Item %WHITE for user (GRIMCLASH) is repeated in want list for 430.
**** Item %WHITE for user (GRIMCLASH) is repeated in want list for 431.
**** Item 11 is repeated in want list for %KUTN_HORA for user (KDSZ).
**** Item 1267 is repeated in want list for 850.
**** Item 1335 is repeated in want list for 1670.
**** Item 1642 is repeated in want list for 850.
**** Item 1933 is repeated in want list for 1819.
**** Item 1989 is repeated in want list for 1293.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 2055 is repeated in want list for 1677.
**** Item 517 is repeated in want list for 1295.
**** Item 631 is repeated in want list for 1293.
**** Item 677 is repeated in want list for 850.
**** Item 776 is repeated in want list for 1907.
**** Item 776 is repeated in want list for 1912.
**** Item 823 is repeated in want list for 1819.
**** Item 867 is repeated in want list for 850.
**** Item 913 is repeated in want list for 1293.
**** Unknown item %TICKET_TO_RIDE_PLAY_PINK for user (TOPBGG) (1 occurrence)
**** Unknown item 1106 (18 occurrences)
**** Unknown item 1110 (2 occurrences)
**** Unknown item 1112 (2 occurrences)
**** Unknown item 1113 (13 occurrences)
**** Unknown item 1114 (4 occurrences)
**** Unknown item 1407 (8 occurrences)
**** Unknown item 1454 (18 occurrences)
**** Unknown item 1466 (16 occurrences)
**** Unknown item 1467 (2 occurrences)
**** Unknown item 1468 (7 occurrences)
**** Unknown item 1469 (13 occurrences)
**** Unknown item 1470 (6 occurrences)
**** Unknown item 1612 (7 occurrences)
**** Unknown item 1632 (80 occurrences)
**** Unknown item 1633 (17 occurrences)
**** Unknown item 1637 (118 occurrences)
**** Unknown item 1638 (10 occurrences)
**** Unknown item 1639 (8 occurrences)
**** Unknown item 1654 (2 occurrences)
**** Unknown item 1655 (13 occurrences)
**** Unknown item 1656 (4 occurrences)
**** Unknown item 1657 (9 occurrences)
**** Unknown item 1658 (8 occurrences)
**** Unknown item 1735 (17 occurrences)
**** Unknown item 1840 (17 occurrences)
**** Unknown item 1841 (36 occurrences)
**** Unknown item 1851 (12 occurrences)
**** Unknown item 1946 (8 occurrences)
**** Unknown item 2051 (10 occurrences)
**** Unknown item 2052 (37 occurrences)
**** Unknown item 361 (3 occurrences)
**** Unknown item 363 (19 occurrences)
**** Unknown item 364 (8 occurrences)
**** Unknown item 365 (14 occurrences)
**** Unknown item 366 (3 occurrences)
**** Unknown item 367 (13 occurrences)
**** Unknown item 368 (3 occurrences)
**** Unknown item 369 (5 occurrences)
**** Unknown item 374 (17 occurrences)
**** Unknown item 533 (3 occurrences)
**** Unknown item 885 (2 occurrences)
**** Unknown item 918 (164 occurrences)
**** Unknown item 919 (17 occurrences)
**** Unknown item TILETUM (1 occurrence)
**** Unknown item  1408 (1 occurrence)

TRADE LOOPS (391 total trades):

(DORGA1) 229           receives (SATINO4) 502
(SATINO4) 502          receives (KUBULUNKU93) 944
(KUBULUNKU93) 944      receives (PANCOR) 313
(PANCOR) 313           receives (BAARTOSZZ) 236
(BAARTOSZZ) 236        receives (PATRYKGALKA) 76
(PATRYKGALKA) 76       receives (MARMILCZ) 862
(MARMILCZ) 862         receives (WOJCIECHS) 490
(WOJCIECHS) 490        receives (DEEDO72) 1885
(DEEDO72) 1885         receives (FRAMZ_PL) 874
(FRAMZ_PL) 874         receives (BARTXX86) 951
(BARTXX86) 951         receives (TRINGA) 785
(TRINGA) 785           receives (TAJKOON) 1380
(TAJKOON) 1380         receives (MICHELITO42) 545
(MICHELITO42) 545      receives (PANCOR) 2104
(PANCOR) 2104          receives (HARDKOR) 46
(HARDKOR) 46           receives (ORAISHA) 1758
(ORAISHA) 1758         receives (TAJKOON) 1379
(TAJKOON) 1379         receives (RALFMARK) 1195
(RALFMARK) 1195        receives (ASTRIELL88) 1127
(ASTRIELL88) 1127      receives (PANCOR) 2060
(PANCOR) 2060          receives (MARMILCZ) 866
(MARMILCZ) 866         receives (CHAABER) 698
(CHAABER) 698          receives (TACHION) 1740
(TACHION) 1740         receives (DEEDO72) 1872
(DEEDO72) 1872         receives (PUSHEENEIRO) 2008
(PUSHEENEIRO) 2008     receives (ROSETA) 1081
(ROSETA) 1081          receives (UNKNOWN0) 738
(UNKNOWN0) 738         receives (UKI24) 1830
(UKI24) 1830           receives (ATRAPANTHERA) 84
(ATRAPANTHERA) 84      receives (FLIEGEN) 1947
(FLIEGEN) 1947         receives (PROPI) 1019
(PROPI) 1019           receives (PIOTRSZYJKA) 766
(PIOTRSZYJKA) 766      receives (RYSKAL) 1023
(RYSKAL) 1023          receives (NEDENO) 528
(NEDENO) 528           receives (KRYSTEK) 1399
(KRYSTEK) 1399         receives (KATSEK) 1641
(KATSEK) 1641          receives (JAJKOS) 1455
(JAJKOS) 1455          receives (KONRADSTPN) 131
(KONRADSTPN) 131       receives (VOUTECH83) 1450
(VOUTECH83) 1450       receives (YOORECK) 678
(YOORECK) 678          receives (ULTAN1990) 917
(ULTAN1990) 917        receives (PATRYKGALKA) 56
(PATRYKGALKA) 56       receives (UNKNOWN0) 742
(UNKNOWN0) 742         receives (MARMILCZ) 1452
(MARMILCZ) 1452        receives (PANCOR) 1425
(PANCOR) 1425          receives (MAJZOWNIK) 1267
(MAJZOWNIK) 1267       receives (BAARTOSZZ) 582
(BAARTOSZZ) 582        receives (WINSTER) 1818
(WINSTER) 1818         receives (MARMILCZ) 863
(MARMILCZ) 863         receives (NIDHOG) 2055
(NIDHOG) 2055          receives (UKI24) 1829
(UKI24) 1829           receives (DZIUM8) 394
(DZIUM8) 394           receives (TH13TEEN) 11
(TH13TEEN) 11          receives (BAARTOSZZ) 235
(BAARTOSZZ) 235        receives (DZIUM8) 370
(DZIUM8) 370           receives (WINSTER) 348
(WINSTER) 348          receives (OMAM1234) 929
(OMAM1234) 929         receives (GODUNOW) 671
(GODUNOW) 671          receives (STALKEROI) 1109
(STALKEROI) 1109       receives (KONRADSTPN) 168
(KONRADSTPN) 168       receives (TH13TEEN) 10
(TH13TEEN) 10          receives (ZIELONESZKIELKO) 1396
(ZIELONESZKIELKO) 1396 receives (STACHUSTACH187) 49
(STACHUSTACH187) 49    receives (CIUNIEK) 199
(CIUNIEK) 199          receives (ROSETA) 942
(ROSETA) 942           receives (DZIUM8) 395
(DZIUM8) 395           receives (JBLAZE) 1226
(JBLAZE) 1226          receives (KMET) 965
(KMET) 965             receives (DLAAGNIECHY) 485
(DLAAGNIECHY) 485      receives (GRUNWALD) 225
(GRUNWALD) 225         receives (BAAKA) 550
(BAAKA) 550            receives (PROPI) 500
(PROPI) 500            receives (LOMAX1983) 100
(LOMAX1983) 100        receives (PATRYKGALKA) 840
(PATRYKGALKA) 840      receives (FREYA2226) 1804
(FREYA2226) 1804       receives (SZAFARCZYK5) 7
(SZAFARCZYK5) 7        receives (ZIEZIOR) 662
(ZIEZIOR) 662          receives (LISEK2000) 1357
(LISEK2000) 1357       receives (GRUNWALD) 227
(GRUNWALD) 227         receives (FRAMZ_PL) 878
(FRAMZ_PL) 878         receives (ADALBERT) 1807
(ADALBERT) 1807        receives (CHAABER) 689
(CHAABER) 689          receives (MATTBAT11) 561
(MATTBAT11) 561        receives (KACZIM) 115
(KACZIM) 115           receives (VORONWE) 1777
(VORONWE) 1777         receives (SZAFARCZYK5) 9
(SZAFARCZYK5) 9        receives (VORONWE) 1773
(VORONWE) 1773         receives (GARG) 1538
(GARG) 1538            receives (RALFMARK) 1189
(RALFMARK) 1189        receives (LISEK2000) 1331
(LISEK2000) 1331       receives (RALFMARK) 1182
(RALFMARK) 1182        receives (UNKNOWN0) 745
(UNKNOWN0) 745         receives (MARMILCZ) 867
(MARMILCZ) 867         receives (DZIUM8) 377
(DZIUM8) 377           receives (LISEK2000) 1341
(LISEK2000) 1341       receives (RYSKAL) 1027
(RYSKAL) 1027          receives (GODUNOW) 668
(GODUNOW) 668          receives (POKET) 2037
(POKET) 2037           receives (PANCOR) 2105
(PANCOR) 2105          receives (FREYA2226) 1802
(FREYA2226) 1802       receives (PANCOR) 321
(PANCOR) 321           receives (KRYSTEK) 1400
(KRYSTEK) 1400         receives (GODUNOW) 667
(GODUNOW) 667          receives (VORONWE) 1790
(VORONWE) 1790         receives (JAJKOS) 204
(JAJKOS) 204           receives (ROSETA) 1056
(ROSETA) 1056          receives (BAARTOSZZ) 239
(BAARTOSZZ) 239        receives (SIPIO) 1717
(SIPIO) 1717           receives (MAGUN071) 1057
(MAGUN071) 1057        receives (WAMPIK) 1820
(WAMPIK) 1820          receives (TEDOKA) 1931
(TEDOKA) 1931          receives (MISIENCJUSZ) 93
(MISIENCJUSZ) 93       receives (FRAMZ_PL) 873
(FRAMZ_PL) 873         receives (TH13TEEN) 13
(TH13TEEN) 13          receives (SYDONIAA) 731
(SYDONIAA) 731         receives (MS103) 1009
(MS103) 1009           receives (CIUNIEK) 198
(CIUNIEK) 198          receives (YOSEK) 1459
(YOSEK) 1459           receives (PRZMKP) 245
(PRZMKP) 245           receives (WAMPIK) 890
(WAMPIK) 890           receives (VOYDEN) 1989
(VOYDEN) 1989          receives (RALFMARK) 1202
(RALFMARK) 1202        receives (MISIENCJUSZ) 92
