TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES LINEAR-PRIORITIES REQUIRE-COLONS REQUIRE-USERNAMES SHOW-MISSING SMALL-STEP=0 BIG-STEP=1

Input Checksum: 19d9f1d4e29eba6388ab9ad9a3e976c6
ERRORS:
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1314.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1317.
**** Item %BULLET for user (JINGOWAWA) is repeated in want list for 1322.
**** Item %ICAION for user (HYNIKS) is repeated in want list for 1769.
**** Item %TSUKUYUMI_FULL_MOON_DOWN_SECOND_EDITION____TSUKUYUMI_SUNRISE_KINGDOM___TSUKUYUMI_CHRONOMASTERS___TSUKUYUMI_SENTINELS___TSUKUYUMI_FULL_MOON_DOWN_FIREBORN_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_LORDS_OF_THE_LOST_SEA_EXPANSION___TSUKUYUMI_FULL_MOON_DOWN_SENTINELS_EXPANSION for user (HYNIKS) is repeated in want list for 1771.
**** Item 2042 is repeated in want list for 245.
**** Item 2042 is repeated in want list for 2523.
**** Item 2042 is repeated in want list for 513.
**** Item 2042 is repeated in want list for 520.
**** Item 217 is repeated in want list for 2523.
**** Item 217 is repeated in want list for 513.
**** Item 217 is repeated in want list for 520.
**** Item 2427 is repeated in want list for 2068.
**** Item 2873 is repeated in want list for 2806.
**** Item 2873 is repeated in want list for 2809.
**** Item 2873 is repeated in want list for 2815.
**** Item 2873 is repeated in want list for 2816.
**** Item 2873 is repeated in want list for 2821.
**** Item 2873 is repeated in want list for 2831.
**** Item 2934 is repeated in want list for 2379.
**** Item 2934 is repeated in want list for 2380.
**** Item 2934 is repeated in want list for 2382.
**** Item 2934 is repeated in want list for 2383.
**** Item 2934 is repeated in want list for 2384.
**** Item 2934 is repeated in want list for 2385.
**** Item 2934 is repeated in want list for 2386.
**** Item 2934 is repeated in want list for 2388.
**** Item 2934 is repeated in want list for 2392.
**** Item 2934 is repeated in want list for 2395.
**** Item 2934 is repeated in want list for 2406.
**** Item 2934 is repeated in want list for 2407.
**** Item 2934 is repeated in want list for 2410.
**** Item 2934 is repeated in want list for 2412.
**** Item 2934 is repeated in want list for 2414.
**** Item 2934 is repeated in want list for 2415.
**** Item 2934 is repeated in want list for 2419.
**** Item 2934 is repeated in want list for 2423.
**** Item 834 is repeated in want list for 2042.
**** Item 96 is repeated in want list for 2074.
**** Unknown item %7_WONDERS_DUEL for user (PIOTREKPIOTREK) (1 occurrence)
**** Unknown item %HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_CRISIS_CONTROL_HEGEMONY_LEAD_YOUR_CLASS_TO_VICTORY_HISTORICAL_EVENTS for user (YAVI) (4 occurrences)
**** Unknown item %HIGH_FRONTIER_4_ALL for user (YAVI) (2 occurrences)
**** Unknown item %KNOCKDOWN_VOLUME_II_KNOCKDOWN_VOLUME_III for user (MEFIUG) (19 occurrences)
**** Unknown item %WAR_CHEST for user (YOSEK) (1 occurrence)
**** Unknown item 1146, (1 occurrence)
**** Unknown item 12214 (1 occurrence)
**** Unknown item 12230 (1 occurrence)
**** Unknown item 1310, (1 occurrence)
**** Unknown item 1313, (4 occurrences)
**** Unknown item 1372, (4 occurrences)
**** Unknown item 1375, (3 occurrences)
**** Unknown item 1404209 (1 occurrence)
**** Unknown item 1487, (3 occurrences)
**** Unknown item 154 (1 occurrence)
**** Unknown item 155 (3 occurrences)
**** Unknown item 156 (4 occurrences)
**** Unknown item 158 (3 occurrences)
**** Unknown item 159 (1 occurrence)
**** Unknown item 160 (2 occurrences)
**** Unknown item 161 (10 occurrences)
**** Unknown item 1615, (1 occurrence)
**** Unknown item 162 (12 occurrences)
**** Unknown item 1623, (2 occurrences)
**** Unknown item 163 (36 occurrences)
**** Unknown item 1641, (2 occurrences)
**** Unknown item 1658, (4 occurrences)
**** Unknown item 1688, (2 occurrences)
**** Unknown item 1698, (1 occurrence)
**** Unknown item 1753, (1 occurrence)
**** Unknown item 1875, (3 occurrences)
**** Unknown item 1956, (4 occurrences)
**** Unknown item 2019 (10 occurrences)
**** Unknown item 204, (4 occurrences)
**** Unknown item 2043 (15 occurrences)
**** Unknown item 2046, (5 occurrences)
**** Unknown item 2069, (1 occurrence)
**** Unknown item 208, (1 occurrence)
**** Unknown item 2089 (3 occurrences)
**** Unknown item 2092 (2 occurrences)
**** Unknown item 2102, (3 occurrences)
**** Unknown item 211, (2 occurrences)
**** Unknown item 2149, (3 occurrences)
**** Unknown item 2185 (1 occurrence)
**** Unknown item 2187 (1 occurrence)
**** Unknown item 2190 (25 occurrences)
**** Unknown item 2215, (1 occurrence)
**** Unknown item 237, (3 occurrences)
**** Unknown item 2401 (55 occurrences)
**** Unknown item 2434 (1 occurrence)
**** Unknown item 244 (29 occurrences)
**** Unknown item 2440 (40 occurrences)
**** Unknown item 2448 (2 occurrences)
**** Unknown item 2457 (29 occurrences)
**** Unknown item 2459 (2 occurrences)
**** Unknown item 2479 (40 occurrences)
**** Unknown item 24992286 (1 occurrence)
**** Unknown item 266, (1 occurrence)
**** Unknown item 2713 (5 occurrences)
**** Unknown item 2715 (17 occurrences)
**** Unknown item 2730, (2 occurrences)
**** Unknown item 2748 (9 occurrences)
**** Unknown item 2765 (3 occurrences)
**** Unknown item 2947, (1 occurrence)
**** Unknown item 3066 (38 occurrences)
**** Unknown item 386, (4 occurrences)
**** Unknown item 390, (3 occurrences)
**** Unknown item 430 (12 occurrences)
**** Unknown item 560, (2 occurrences)
**** Unknown item 631 (1 occurrence)
**** Unknown item 638 (1 occurrence)
**** Unknown item 660, (4 occurrences)
**** Unknown item 681, (3 occurrences)
**** Unknown item 755, (4 occurrences)
**** Unknown item 781 (58 occurrences)
**** Unknown item 782 (56 occurrences)
**** Unknown item 844 (1 occurrence)
**** Unknown item 863, (3 occurrences)
**** Unknown item LOST_RUINS_OF_ARNAK (6 occurrences)
**** Unknown item THESAUROS (1 occurrence)

TRADE LOOPS (498 total trades):

(DOMBAS) 2298          receives (LISEK2000) 1944
(LISEK2000) 1944       receives (JIMI_) 2474
(JIMI_) 2474           receives (WOJCIECHS) 586
(WOJCIECHS) 586        receives (ITTAMPL) 578
(ITTAMPL) 578          receives (MISIENCJUSZ) 433
(MISIENCJUSZ) 433      receives (KONRADSTPN) 82
(KONRADSTPN) 82        receives (MAT_EYO) 1516
(MAT_EYO) 1516         receives (PUNIYA) 2453
(PUNIYA) 2453          receives (JACOBPL) 2589
(JACOBPL) 2589         receives (UNKNOWN0) 842
(UNKNOWN0) 842         receives (WINSTER) 1013
(WINSTER) 1013         receives (PANCOR) 1146
(PANCOR) 1146          receives (LIMPINGMAN) 1762
(LIMPINGMAN) 1762      receives (PHILM78) 1815
(PHILM78) 1815         receives (MIZIO) 2609
(MIZIO) 2609           receives (SPRYSIALDO) 164
(SPRYSIALDO) 164       receives (MAJZOWNIK) 1919
(MAJZOWNIK) 1919       receives (JNOWACZY) 1867
(JNOWACZY) 1867        receives (KLANCYG) 507
(KLANCYG) 507          receives (SWIROFF) 1850
(SWIROFF) 1850         receives (ROSETA) 1633
(ROSETA) 1633          receives (PIOTR1) 642
(PIOTR1) 642           receives (MANKOSLAW) 497
(MANKOSLAW) 497        receives (BADO666) 119
(BADO666) 119          receives (PLANSZOWIEC) 2677
(PLANSZOWIEC) 2677     receives (DZANOMARO) 641
(DZANOMARO) 641        receives (MATHANDELJR90) 2442
(MATHANDELJR90) 2442   receives (KONTRABAS) 1496
(KONTRABAS) 1496       receives (PATRYKGALKA) 260
(PATRYKGALKA) 260      receives (TEDOKA) 2495
(TEDOKA) 2495          receives (PIOTR1) 788
(PIOTR1) 788           receives (_SLY_) 180
(_SLY_) 180            receives (ZIMOCH) 566
(ZIMOCH) 566           receives (MARMILCZ) 253
(MARMILCZ) 253         receives (TENCZ) 1625
(TENCZ) 1625           receives (ZABOWSKI) 924
(ZABOWSKI) 924         receives (PUSHEENEIRO) 1025
(PUSHEENEIRO) 1025     receives (MAJZOWNIK) 1902
(MAJZOWNIK) 1902       receives (JNOWACZY) 1861
(JNOWACZY) 1861        receives (MELUSINA) 171
(MELUSINA) 171         receives (LASSE LINDSTROM) 2499
(LASSE LINDSTROM) 2499 receives (CAFFREYRLS) 2051
(CAFFREYRLS) 2051      receives (RAFAL1991) 703
(RAFAL1991) 703        receives (JAKUBWAKIEC) 654
(JAKUBWAKIEC) 654      receives (SWIROFF) 1848
(SWIROFF) 1848         receives (HAWKU93) 1044
(HAWKU93) 1044         receives (HEXONAUTA) 1444
(HEXONAUTA) 1444       receives (PATRYKGALKA) 274
(PATRYKGALKA) 274      receives (ITSTHISGUYAGAIN) 443
(ITSTHISGUYAGAIN) 443  receives (LADZIK) 2776
(LADZIK) 2776          receives (DZIUM8) 1051
(DZIUM8) 1051          receives (GROR) 2389
(GROR) 2389            receives (GARG) 2260
(GARG) 2260            receives (GRZECHOO104) 2798
(GRZECHOO104) 2798     receives (KEROVAN14) 227
(KEROVAN14) 227        receives (PANCOR) 1242
(PANCOR) 1242          receives (KMET) 1982
(KMET) 1982            receives (SWIROFF) 476
(SWIROFF) 476          receives (RAFAL1991) 697
(RAFAL1991) 697        receives (KONRADSTPN) 67
(KONRADSTPN) 67        receives (FURAN) 860
(FURAN) 860            receives (WILCZELYKO) 2105
(WILCZELYKO) 2105      receives (UNKNOWN0) 850
(UNKNOWN0) 850         receives (JIMMY_DURDEN) 668
(JIMMY_DURDEN) 668     receives (GINET1) 2934
(GINET1) 2934          receives (YNIDHOGG) 2409
(YNIDHOGG) 2409        receives (ZIEZIOR) 516
(ZIEZIOR) 516          receives (REKAWIAN) 1814
(REKAWIAN) 1814        receives (MANKOSLAW) 498
(MANKOSLAW) 498        receives (PATRYKGALKA) 279
(PATRYKGALKA) 279      receives (BARTMAN71) 2545
(BARTMAN71) 2545       receives (ASYMETRI) 1349
(ASYMETRI) 1349        receives (DZIUM8) 1047
(DZIUM8) 1047          receives (KONTRABAS) 1486
(KONTRABAS) 1486       receives (SCRABER) 1400
(SCRABER) 1400         receives (ROSETA) 1800
(ROSETA) 1800          receives (STACHUSTACH187) 525
(STACHUSTACH187) 525   receives (LUKI364) 766
(LUKI364) 766          receives (ZABOWSKI) 872
(ZABOWSKI) 872         receives (VORONWE) 1623
(VORONWE) 1623         receives (YNIDHOGG) 2483
(YNIDHOGG) 2483        receives (LUKI364) 763
(LUKI364) 763          receives (AMACHNO) 602
(AMACHNO) 602          receives (ITSTHISGUYAGAIN) 449
(ITSTHISGUYAGAIN) 449  receives (MZEPTER) 828
(MZEPTER) 828          receives (CAFFREYRLS) 2055
(CAFFREYRLS) 2055      receives (SIRIUS91) 2514
(SIRIUS91) 2514        receives (UNKNOWN0) 2661
(UNKNOWN0) 2661        receives (RYSKAL) 1541
(RYSKAL) 1541          receives (KARTMAN7) 3059
(KARTMAN7) 3059        receives (MELUSINA) 2572
(MELUSINA) 2572        receives (VOYDEN) 2700
(VOYDEN) 2700          receives (SCRABER) 1381
(SCRABER) 1381         receives (OSTRY) 2862
(OSTRY) 2862           receives (ROSETA) 1658
(ROSETA) 1658          receives (CAFFREYRLS) 2046
(CAFFREYRLS) 2046      receives (WOOL_F) 2860
(WOOL_F) 2860          receives (PANCOR) 1261
(PANCOR) 1261          receives (KARTMAN7) 1304
(KARTMAN7) 1304        receives (VOYDEN) 2716
(VOYDEN) 2716          receives (RAFAL1991) 709
(RAFAL1991) 709        receives (SIRIUS91) 2519
(SIRIUS91) 2519        receives (BORYSX) 1629
(BORYSX) 1629          receives (PATRYKGALKA) 2286
(PATRYKGALKA) 2286     receives (GARG) 2212
(GARG) 2212            receives (DZIUBELAS) 572
(DZIUBELAS) 572        receives (AMACHNO) 606
(AMACHNO) 606          receives (ISKRANAPROCHY) 691
(ISKRANAPROCHY) 691    receives (WOOL_F) 2850
(WOOL_F) 2850          receives (GARG) 2179
(GARG) 2179            receives (ARCANUM17) 1059
(ARCANUM17) 1059       receives (BARTJ) 2326
(BARTJ) 2326           receives (WOJCIECHS) 1984
(WOJCIECHS) 1984       receives (PANCOR) 1239
(PANCOR) 1239          receives (GARG) 2182
